Parameter,,TestConfig.,Unit,Value,Comment
,,,,Test 1,
Active PCell,,1-2,,Cell 1,
RF Channel Number,,1-2,,1,
Duplex mode,,1-2,,TDD,
TDD Configuration,,1-2,,TDDConf.3.1,
BWchannel,,1-2,,"100: NPRB,c = 66",
Data PRBs allocated,,1-2,,66,
PDSCH/PDCCH subcarrier spacing,,1-2,kHz,120,
DL initial BWP configuration,,1-2,,DLBWP.0.1,
DL dedicated BWP configuration,,1-2,,DLBWP.1.1,
UL initial BWP configuration,,1-2,,ULBWP.0.1,
UL dedicated BWP configuration,,1-2,,ULBWP.1.1,
PDSCH Reference Channel,,1,,SR.3.2 TDD,
,,2,,SR.3.3 TDD,
RMSI CORESET Reference Channel,,1,,CR.3.1 TDD,
,,2,,CR.3.2 TDD,
Dedicated CORESET Reference Channel,,1,,CCR.3.1 TDD,
,,2,,CCR.3.7 TDD,
OCNG parameters,,1-2,,OP.1,
CP length,,1-2,,Normal,
PDSCH/PDCCH TCI state,,1-2,,TCI.State.0,
CSI-RS for tracking,,1-2,,TRS.2.1 TDD,
SSB Configuration,,1,,SSB.1 FR2,
,,2,,SSB.2 FR2,
SMTC Configuration,,1-2,,SMTC.3,
PRACH Configuration,,1-2,,FR2 PRACH configuration 2,A.3.8.3.2
DRX configuration,,1-2,,OFF,
SSB index assigned as BFD RS (q0),,1-2,,0,
SSB index assigned as CBD RS (q1),,1-2,,1,
SSB index assigned as RLM RS,,1-2,,"0,1",
Beam failure detection transmission parameters,DCI format,1-2,,1-0,
,Number of Control OFDM symbols,1-2,,2,
,Aggregation level,1-2,CCE,8,
,Ratio of hypothetical PDCCH RE energy to average SSS RE energy,1-2,dB,0,
,Ratio of hypothetical PDCCH DMRS energy to average SSS RE energy,1-2,dB,0,
,DMRS precoder granularity,1-2,,REG bundle size,
,REG bundle size,1-2,,6,
Gap pattern ID,,1-2,,gp0,
gapOffset,,1-2,ms,0,
rlmInSyncOutOfSyncThreshold,,1-2,,absent,Value 0 is applied. (Table 8.1.1-1).
rsrp-ThresholdSSB,,1,dBm/SCS,-95,Threshold used for Qin_LR_SSB
,,2,,-92,
powerControlOffsetSS,,1-2,,db0,Used for deriving rsrp-ThresholdCSI-RS
beamFailureInstanceMaxCount,,1-2,,n1,"see TS 38.321 [7], clause 5.17"
beamFailureDetectionTimer,,1-2,,pbfd4,"see TS 38.321 [7], clause 5.17"
CSI-RS configuration for CSI reporting,,1-2,,CSI-RS.3.1 TDD,
reportConfigType,,1-2,,periodic,
reportQuantity,,1-2,,cri-RI-PMI-CQI,
CSI reporting periodicity,,1-2,slot,40,
CSI reporting offset,,1-2,slot,4,
T310,,1-2,ms,1000,
N310,,1-2,,2,
T1,,1-2,s,1,The UE shall be fully synchronized to cell 1 during T1
T2,,1-2,s,2.61,
T3,,1-2,s,1.64,
T4,,1-2,s,0,
T5,,1-2,s,1.01,
D1,,1-2,s,0.97,
NOTE 1:All configurations are assigned to the UE prior to the start of time period T1.NOTE 2:UE-specific PDCCH is not transmitted after T1 starts.,,,,,
