Parameter,Unit,Value,Comment
RF Channel Number,,"1,2,3","Three NR radio channel (1, 2, 3) are used for this test"
Active PCell,,Cell 1,Primary cell on NR RF channel number 1.
Configured deactivated PUCCH SCell,,Cell 2,Configured deactivated secondary cell on NR RF channel number 2. The cell is in a different FR2 band from Cell 1.
Configured deactivated non-PUCCH SCell,,Cell 3,Configured deactivated secondary cell on NR RF channel number 3. The cell is intra-band contiguous to Cell 1.
CP length,,Normal,
DRX,,OFF,Continuous monitoring of primary cell
Cell-individual offset for cells on NR channel number,dB,0,Individual offset for cells on primary component carrier.
SCell measurement cycle (measCycleSCell),ms,160,
Cell 2 timing offset to cell1,s,≤25,A random value from 0s to 25s
Cell 3 timing offset to cell1,s,≤25,A random value from 0s to 25s
Cell 3 timing offset to cell2,s,0,
T1,s,7,During this time the PCell (Cell 1) shall be known and the SCells (Cell 2 and Cell 3) configured and detected.
T2,s,2,During this time the UE shall activate the SCells.
T3,s,1,During this time the UE shall deactivate the SCells.
THARQ,ms,Config 1: 2Config 2: 3Config 3: 2.5,"k1NR slot lengthk1 is a number of slots and is indicated by the PDSCH-to-HARQ-timing-indicator field in the DCI format, if present, or provided by dl-DataToUL-ACK, the value of k should be the minimum value defined in TS 38.213 [3] that will meet the timing constraints of this test case.×"
TCSI_Reporting,ms,15,"the delay (in ms) including uncertainty in acquiring the first available downlink CSI reference resource, UE processing time for CSI reporting (clause 5.2.2.5 in TS 38.214) and uncertainty in acquiring the first available CSI reporting resources as specified in TS 38.331 [2] and TS 38.213 [3]."
