Parameter,,Unit,Test configuration,Cell 1,,,Cell 2,,
,,,,T1,T2,T3,T1,T2,T3
AoA setup,,,Config 1,Setup 1 as specified in clause A.3.15,,,,,
Beam AssumptionNote 7,,,Config 1,Rough,,,Rough,,
Frequency Range,,,Config 1,FR2,,,FR2,,
NR RF Channel Number,,,Config 1,1,,,2,,
Duplex mode,,,Config 1,TDD,,,TDD,,
TDD configuration,,,Config 1,TDDConf.3.1,,,TDDConf.3.1,,
BWchannel,,MHz,Config 1,"100: NPRB,c = 66",,,"100: NPRB,c = 66",,
Data PRBs allocated,,,Config 1,66,,,66,,
BWP configuration,Initial DL BWP,,Config 1,DLBWP.0.1,,,DLBWP.0.1,,
,Initial UL BWP,,,ULBWP.0.1,,,ULBWP.0.1,,
,Dedicated DL BWP,,,DLBWP.1.1,,,DLBWP.1.1,,
,Dedicated UL BWP,,,ULBWP.1.1,,,ULBWP.1.1,,
OCNG Patterns,,,Config 1,OP.1,,,OP.1,,
PDSCH Reference measurement channel,,,Config 1,SR.3.1 TDD,,,SR.3.1 TDD,,
CORESET Reference Channel,,,Config 1,CR.3.1 TDD,,,CR.3.1 TDD,,
SSB configuration,,,Config 1,SSB.1 FR2,,,SSB.1 FR2,,
SMTC configuration,,,Config 1,SMTC.1,,,SMTC.1,,
TRS configuration,,,Config 1,TRS.2.1 TDD,,,TRS.2.1 TDD,,
TCI state,,,Config 1,TCI.State.0,,,TCI.State.0,,
PUSCH parameters for NR UL carrier,,,Config 1,N/A,,,N/A,G-FR2-A3-4 in [13],N/A
PUCCH parameters for NR UL carriers,,,Config 1,N/A,,,N/A,Table 11.3.2.3.1.2-2 in [13],N/A
EPRE ratio of PSS to SSS,,,Config 1,0,,,0,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,
Note2,,dBm/15kHz Note5,Config 1,-104.7,,,-104.7,,
Note2,,dBm/SCS Note4,Config 1,-95.7,,,-95.7,,
SS-RSRP Note 3,,dBm/SCS Note5,Config 1,-88.7,,,-88.7,,
,,dB,Config 1,7,,,7,,
,,dB,Config 1,7,,,7,,
IoNote3,,dBm/95.04 MHz Note5,Config 1,-58.92,,,-58.92,,
Propagation Condition,,,Config 1,AWGN,,,AWGN,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:VoidNOTE 5:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 6:As observed with 0 dBi gain antenna at the centre of the quiet zoneNOTE 7:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation",,,,,,,,,
