Parameter,Unit,Value,Comment
RF Channel Number,,"1,2","Two NR radio channel (1, 2) are used for this test"
Active PCell,,Cell 1,Primary cell on NR RF channel number 1.
Configured deactivated SCell,,Cell 2,Configured deactivated secondary cell on NR RF channel number 2
CP length,,Normal,
DRX,,DRX.8,DRX cycle = 320 ms and TAT = Infinity
Cell-individual offset for cells on NR channel number,dB,0,Individual offset for cells on primary component carrier.
SCell measurement cycle (measCycleSCell),ms,160,
Cell 2 timing offset to cell1,s,0,
Time alignment error between cell2 and cell1,s,Time alignment error as specified in TS 38.104 [13] clause 6.5.3.1.,The value of time alignment error depends upon the type of carrier aggregation.
T1,s,7,During this time the PCell shall be known and the SCell configured and detected.
T2,s,1,During this time the UE shall activate the SCell.
T3,s,1,During this time the UE shall deactivate the SCell.
A3-offset,dB,-15,
THARQ,ms,k1NR slot length ×,"k1 is a number of slots and is indicated by the PDSCH-to-HARQ-timing-indicator field in the DCI format, if present, or provided by dl-DataToUL-ACK, the value of k should be the minimum value defined in TS 38.213 [3] depends on UE’s capability"
TCSI_Reporting,ms,15,"the delay (in ms) including uncertainty in acquiring the first available downlink CSI reference resource, UE processing time for CSI reporting (clause 5.2.2.5 in TS 38.214 [26]) and uncertainty in acquiring the first available CSI reporting resources as specified in TS 38.331 [2]"
