Parameter,Unit,Config,Cell 1,Cell 2,,,
,,,,T1,T2,T3,T4
Frequency Range,,"1,2,3",FR1,FR2,,,
Duplex mode,,1,FDD,TDD,,,
,,"2,3",TDD,,,,
TDD configuration,,1,–,TDDConf.3.1,,,
,,2,TDDConf.1.1,,,,
,,3,TDDConf.2.1,,,,
BWchannel,MHz,"1,2","10: NPRB,c = 52","100: NPRB,c = 66",,,
,,3,"40: NPRB,c = 106",,,,
Data PRBs allocated,,"1,2",52,48,,,
,,3,106,,,,
Initial Downlink BWP configuration,,"1,2,3",DLBWP.0.1,DLBWP.0.1,,,
Initial Uplink BWP configuration,,"1,2,3",ULBWP.0.1,ULBWP.0.1,,,
Dedicated Downlink BWP configuration,,"1,2,3",DLBWP.1.1,DLBWP.1.1,,,
Dedicated Uplink BWP configuration,,"1,2,3",ULBWP.1.1,ULBWP.1.1,,,
PDSCH Reference Measurement Channel,,1,SR.1.1 FDD,SR.3.3 TDD,,,
,,2,SR.1.1 TDD,,,,
,,3,SR.2.1 TDD,,,,
TRS configuration,,"1,2,3",–,TRS.2.1 TDD,,,
TCI state,,"1,2,3",–,TCI.State.0,,,
RMSI CORESET parameters,,1,CR.1.1 FDD,CR.3.2 TDD,,,
,,2,CR.1.1 TDD,,,,
,,3,CR.2.1 TDD,,,,
Dedicated CORESET parameters,,1,CCR.1.1 FDD,CCR.3.7 TDD,,,
,,2,CCR.1.1 TDD,,,,
,,3,CCR.2.1 TDD,,,,
OCNG PatternsNote1,,"1,2,3",OP.1,OP.3,,,
SSB configuration,,"1,2",SSB.1 FR1,SSB.2 FR2,,,
,,3,SSB.2 FR1,,,,
SMTC configuration,,"1,2,3",SMTC.2,SMTC.1,,,
PDSCH/PDCCH subcarrier spacing,kHz,"1,2",15,120,,,
,,3,30,,,,
EPRE ratio of PSS to SSS,dB,"1,2,3",0,0,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,
EPRE ratio of OCNG DMRS to SSS,,,,,,,
EPRE ratio of OCNG to OCNG DMRS,,,,,,,
Propagation Condition,,"1,2,3",AWGN,No external noise (Note 6),,,
"NOTE 1: OCNG shall be used such that a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:VoidNOTE 3: VoidNOTE 4: VoidNOTE 5:VoidNOTE 6:The downlink connection between the System Simulator and the UE is without Additive White Gaussian Noise, and has no fading or multipath effects as specified in TS 38.521-2 B.0 [40].",,,,,,,
