Parameter,Unit,Value,,Comment
,,Test1,Test2,
NR RF Channel Number,,"1, 2, 3",,Three NR radio channels are used for this test
Active PCell,,Cell 1,,PCell on RF channel number 1 in FR1
Active SCell 1,,Cell 2,,SCell 1 on RF channel number 2 in FR2
Active SCell 2,,Cell 3,,SCell 2 on RF channel number 3 in FR2
"CSI reporting periodicity, Non-dormant BWP",ms,2,,CSI reporting periodicity for periodic reporting of CQI for PCell and non-dormant SCells
"CSI reporting periodicity, Dormant BWP",ms,40,,CSI reporting periodicity for periodic reporting of CQI for dormant SCells
CP length,,Normal,,
DRX,,DRX.8,,For both PCell and SCells. See clause A.3.3.8.
ps-Offset,,Depending on UE capability,,"Monitoring of DCI 2_6 ahead of start of drx-onDurationTimer. Value of ps-Offset shall correspond to SCell dormancy switching time for switching of two SCells, as specified in clause 8.6.2A. Actual value depends on reported UE capabilities."
ps-WakeUp,,true,,Wake up for onDuration in case DCI format 2_6 is not detected.
Cell 2 timing offset to Cell 1,µs,<24,,"Timing offset shall be less than MRTD for FR1-FR2 CA, and leave margin for timing difference between Cell 2 and Cell 3."
Cell 3 timing offset to Cell 2,ns,<260,,Timing offset shall be less than MRTD for FR2 intra-band non-contiguous CA.
OFDM symbol range in slot for transmission of DCI with dormancy indication,,0 – 2,3 – 11,Test1 is based on that triggering DCI is received within the first three OFDM symbols of a slot.Test2 is based on that the triggering DCI is received later than within the first three OFDM symbols of a slot.
T1,s,0.2,,During this time the SCells are switched from non-dormancy to dormancy.
T2,s,10,,During this time the SCells are dormant.
T3,s,0.2,,During this time the UE is not scheduled in PCell.
T4,s,0.2,,During this time the SCells are switched from dormancy to non-dormancy.
