Parameter,,Unit,Cell 1,Cell 2
Frequency Range,,,FR2,
Duplex mode,,,TDD,
TDD configuration,,,TDDConf.3.1,
BWchannel,,,"100 MHz: NPRB,c = 66",
Data PRBs allocated,,,66,
Initial DL BWP Configuration,,,DLBWP.0.2Note4,
Initial UL BWP Configuration,,,ULBWP.0.2 Note6,
Downlink dedicated BWP Configuration,,,DLBWP.1.1,
Uplink dedicated BWP configuration,,,ULBWP.1.1,
PDSCH Reference measurement channel,,,SR.3.1 TDD,
RMSI CORESET parameters,,,CR.3.1 TDD,
Dedicated CORESET parameters,,,CCR.3.1 TDD,
OCNG Patterns,,,OP.1,
SMTC Configuration,,,SMTC.1,
SSB Configuration,,,SSB.1 FR2,
TCI State,,,TCI.State.0,
TRS Configuration,,,TRS.2.1 TDD,
Correlation Matrix and Antenna Configuration,,,1x2 Low,
EPRE ratio of PSS to SSS,,dB,0,0
EPRE ratio of PBCH DMRS to SSS,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,
EPRE ratio of PDSCH to PDSCH,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,
Time offset to Cell 1 Note 3,,s,-,3
Propagation Condition,,,AWGN,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:VoidNOTE 3:Receive time difference between slot boundaries of signals received from the two cells at the UE antenna connector including time alignment error between the two cells.NOTE 4:For unpaired spectrum, a DL BWP is linked with an UL BWP. DLBWP.0.2 is linked with ULBWP.0.2 defined in clause 12 of of TS 38.213 [3].",,,,
