Parameter,Unit,Cell 1
Duplex mode,,TDD
TDD configuration,,TDDConf.3.1
BWchannel,MHz,"100: NPRB,c = 66"
Data PRBs allocated,,24
PDSCH/PDCCH subcarrier spacing,KHz,120
PDSCH Reference measurement channel QCL-ed to SSB index 0,,SR.3.2 TDD
PDSCH Reference measurement channel QCL-ed to SSB index 1,,SR.3.2 TDD
RMSI CORESET RMC configuration,,CR.3.1 TDD
Dedicated CORESET (CORESET index p) RMC configuration QCL-ed to SSB index 0,,CCR.3.1 TDD
Dedicated CORESET (CORESET index q) RMC configuration QCL-ed to SSB index 1,,CCR.3.1 TDD
PDSCH TCI state QCL-ed to SSB index 0,,TCI.State.0
PDSCH TCI state QCL-ed to SSB index 1,,TCI.State.1
OCNG Pattern,,OP.4 defined in A.3.2.1
Initial BWP configuration,,DLBWP.0.1ULBWP.0.1
Dedicated UL BWP configuration,,DLBWP.1.3ULBWP.1.3
TRS Configuration QCL-ed to SSB index 0,,TRS.2.1 TDD
TRS Configuration QCL-ed to SSB index 1,,TRS.2.2 TDD
EPRE ratio of PSS to SSS,dB,0
EPRE ratio of PBCH DMRS to SSS,,
EPRE ratio of PBCH to PBCH DMRS,,
EPRE ratio of PDCCH DMRS to SSS,,
EPRE ratio of PDCCH to PDCCH DMRS,,
EPRE ratio of PDSCH DMRS to SSS,,
EPRE ratio of PDSCH to PDSCH DMRS,,
EPRE ratio of OCNG DMRS to SSSNote 1,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,
Propagation condition,,No external noise (Note 2)
"NOTE 1: OCNG shall be used such that both cells are fully allocated, and a constant total transmitted power spectral density is achieved for all OFDM symbolsNOTE 2: The downlink connection between the System Simulator and the UE is without Additive White Gaussian Noise and has no fading or multipath effects as specified in TS 38.521-2 B.0 [40].",,
