Change history (before approval),,,,,,,
Date,TSG #,TSG Doc.,CR,Rev,Subject/Comment,Old,New
2006-06,RAN2 Ad.,R2-062020,,,First version.,,0.0.0
2006-06,RAN2 Ad.,R2-062026,,,RLC operation clarified;High priority and low priority SRBs listed in RRC;New clause on RRC procedures;Organisation of paging groups explained; New clause on Support for self-configuration and self-optimisation.,0.0.0,0.0.1
2006-06,RAN2 Ad.,R2-062036,,,Four possible types of allocation added to clause 11;New clause for the support for real time IMS services.,0.0.1,0.0.2
2006-08,RAN2#54,R2-062206,,,Annex B on RRC and MAC control added.Minor editorial clarifications.,0.0.2,0.0.3
2006-09,RAN#34,RP-060603,,,"Clause 4 on ""Overall Architecture"" reorganised;Details on RLC operation included (segmentation, PDU size);Overview of System Information and RACH procedure added.",0.0.3,0.0.4
2006-10,RAN2#55,R2-063012,,,"Ciphering for RRC signalling required in eNB as agreed in SA3;Agreements on RLC operation included: concatenation, discard, polling and status reports;Agreed text proposal in R3-061428 on Self Configuration added to clause 19;Context transfer of header compression at UPE relocation listed as FFS.Outline of the RACH procedure described.",0.0.4,0.0.5
2006-10,RAN2#55,R2-063039,,,Miscellaneous editorial corrections;Agreed text proposal R3-061606 on Current status of E-UTRAN Architecture description added to clause 4;Agreed text proposal in R3-061613 on Support for self-configuration and self-optimisation added to clause 19.Agreed Physical layer model R2-063031 added to clause 5,0.0.5,0.1.0
2006-11,RAN2#56,R2-063656,,,"Annex C on system information classification added (R2-063064);Integrity protection for the control plane only (SA3 agreement);Agreements on PDCP and RLC PDU structure/handling reflected;Decisions on mobility aspects such as load balancing, handover, radio link failure and random access procedure added;Agreed MBMS deployment scenarios listed together with MBMS transmissions and principles from 25.813;Agreed text proposal R3-061936 on Radio Resource Management added to clause 15;Agreed text proposal R3-061940 on RAN Sharing added to clause 10;Agreed text proposal R3-061943 on Roaming/Area Restrictions in SAE/LTE added to clause 10;Agreed text proposal R3-062008 on S1 C-Plane Functions and procedures added to clause 18;Agreed text proposal R3-062011 on X2 interface added to clause 19.",0.1.0,0.2.0
2006-11,RAN2#56,R2-063680,,,Incorporation of RAN1 agreement regarding the mandatory support of 20Mhz DL bandwidth for UEs i.e. removal of clause 16.1;Editorial corrections.,0.2.0,0.3.0
2006-11,RAN2#56,R2-063681,,,Removal of the SA3 agreement on integrity protection for the user plane;Addition of Annex D on MBMS Transmission;Editorial corrections.,0.3.0,0.3.1
2006-11,RAN#34,RP-060806,,,Clean version,0.3.1,0.3.1
2007-01,RAN2#56bis,R2-070403,,,SA3 agreement on integrity protection for the user plane included (R2-070016);Annex E on drivers for mobility control added (R2-070276);Agreements on the details of the random access procedure added in clause 10.1.5 (R2-070365);New clause on UL rate control included (R2-070410);RRC security principles listed in clause 13.1 (R2-070044);Agreement on MAC security added to clause 13 (R2-062100);Basis for DL scheduling put in clause 11.1;Assumptions on neighbour cell list included in clause 10.,0.3.1,0.4.0
2007-02,RAN2#57,R2-070451,,,Number of bits for RACH in TDD clarified;Miscellaneous editorial corrections.,0.4.0,0.5.0
2007-02,RAN2#57,R2-071073,,,Architecture updated according to R3-070397;Agreements from R2-070802.,0.5.0,0.6.0
2007-02,RAN2#57,R2-071120,,,RACH model for initial access described;Mapping of the BCCH and System Information principles added;Agreements on DRX included in clause 12.,0.6.0,0.7.0
2007-02,RAN2#57,R2-071122,,,Miscellaneous clarifications,0.7.0,0.7.1
2007-02,RAN2#57,R2-071123,,,CCCH in DL listed as FFS;SAE Gateway ID removed from clause 8.2;PDCP for the control plane listed as FFS in clause 4.3.2;Agreements on intra-E-UTRAN handover procedure included in clause 10.1.2 (R3-062020).,0.7.1,0.8.0
2007-03,RAN2#57,R2-071124,,,"Agreement on Radio Access Network Sharing (R2-070551) added to clause 10.1.7;Overview of the physical layer (R1-071251) included to clause 5;Agreed text proposals on S1 interface included in clause 19 (R3-070289, R3-070402);Agreed text proposal R3-070409 on network sharing included in clause 10.1.7;Agreed text proposal R3-070411 on Area Restrictions included in clause 10.4;Agreed text proposal R3-070448 on Assembly of Intra-E-UTRAN handover command included in clause 10.1.2.1.1;Agreed text proposal R3-070451 on inter RAT HO principles included in clause 10.2.2;Agreed text proposal R3-070472 on Addressing on S1-C and X2-C added to clauses 19.2 and 20.2;Agreed text proposal R3-070494 on Initial Context Setup Function and Procedure added to clause 19;Agreed text proposal R3-070495 on S1 Paging function and procedure added to clause 19Figures for mapping between channels split into Uplink and Downlink parts in clause 5.3.1 and 6.1.3.",0.8.0,0.9.0
2007-03,RAN#35,RP-070136,,,S1-U and S1-MME used throughout the document;aGW replaced by EPC when still used;Clean version for information,0.9.0,1.0.0
