Change history (after approval),,,,,,,
Date,TSG #,TSG Doc.,CR,Rev,Cat,Subject/Comment,New version
2007-03,RP-35,RP-070136,-,,,Approved at TSG-RAN #35 and placed under Change Control,8.0.0
2007-06,RP-36,RP-070399,0001,1,,"Changes to management-, handover-, paging- and NAS functions, node- synchronization, X2 UP protocol stack, X2 inter cell load management, IP fragmentation, intra-LTE HO, and TA relation to cells in eNB",8.1.0
,RP-36,RP-070494,0002,1,,"Update on Mobility, Security, Random Access Procedure, etc…",8.1.0
,RP-36,RP-070399,0003,-,,Update on MBMS,8.1.0
2007-09,RP-37,RP-070637,0004,1,,"Update on Security, System Information, Mobility, MBMS and DRX",8.2.0
,RP-37,RP-070637,0005,1,,"Correction of synchronization, handover, trace, eMBMS architecture, and S1 common functions and procedures",8.2.0
2007-12,RP-38,RP-070913,0006,1,,"Clean up and update on security, scheduling, mobility, MBMS and DRX",8.3.0
,RP-38,RP-070913,0007,-,,Mobility management,8.3.0
,RP-38,RP-070913,0008,-,,Correction of eMBMS functions and NAS handling during X2 handover,8.3.0
,RP-38,RP-071048,0009,-,,Update of Stage 2 to incorporate Interworking with cdma2000,8.3.0
2008-03,RP-39,RP-080192,0010,-,,"CR to 36.300 on NAS States, Persistent Scheduling, C-RNTI Allocation at Handover…",8.4.0
,RP-39,RP-080192,0011,-,,RAN3 corrections to 36.300 (CR0011),8.4.0
2008-05,RP-40,RP-080406,0012,1,,Introduction of optimized FS2 for TDD,8.5.0
,RP-40,RP-080406,0013,1,,"System Information, Mobilty, QoS and miscellaneous updates",8.5.0
,RP-40,RP-080406,0014,-,,Updates to Stage 2 based on Stage 3 progress on CDMA inter-working,8.5.0
,RP-40,RP-080406,0016,1,,CR 0016r1 to 36.300 on CSG mobility performance guidelines,8.5.0
,RP-40,RP-080406,0017,-,,CR to 36.300 on AS-NAS interaction,8.5.0
,RP-40,RP-080420,0018,1,,RAN3 agreed changes to TS 36.300,8.5.0
,RP-40,RP-080463,0019,-,,Network Interface for ETWS support based on CBS solution,8.5.0
2008-09,RP-41,RP-080688,0020,-,,Correction for Rename of L1/L2 control channel,8.6.0
,RP-41,RP-080688,0021,-,,CR to 36.300 on Paging Channel Description,8.6.0
,RP-41,RP-080688,0022,-,,Proposed updates to Stage 2 for CDMA2000 handover,8.6.0
,RP-41,RP-080688,0023,-,,CR to 36.300 on Semi-Persistent Scheduling,8.6.0
,RP-41,RP-080688,0024,-,,CR to 36.300 on System Information,8.6.0
,RP-41,RP-080688,0026,-,,Clarification of PDCCH description,8.6.0
,RP-41,RP-080688,0027,-,,Removal of DRX interval threshold in 36.300,8.6.0
,RP-41,RP-080688,0028,-,,CR on Randon Access procedure,8.6.0
,RP-41,RP-080688,0032,1,,Transport of NAS messages by AS during Handover,8.6.0
,RP-41,RP-080688,0034,-,,CR to 36.300 capturing home eNB conclusions of RAN2 #63,8.6.0
,RP-41,RP-080688,0035,-,,Changes to TS 36.300 agreed in RAN3#61,8.6.0
2008-12,RP-42,RP-081016,0036,-,,CR0036 to 36.300 [Rel-8] on Contention Resolution,8.7.0
,RP-42,RP-081016,0037,-,,CR0037 to 36.300 [Rel-8] on ETWS SIB,8.7.0
,RP-42,RP-081016,0038,-,,Alignment of 36.300 with stage 3 on 1xRTT CSfallback,8.7.0
