Reference channel,G-FR2-A3B-1,G-FR2-A3B-2
Subcarrier spacing [kHz],60,120
Allocated resource blocks,66,32
CP-OFDM Symbols per slot (Note 1),12,12
Modulation,QPSK,QPSK
Code rate (Note 2),308/1024,308/1024
Payload size (bits),5632,2792
Transport block CRC (bits),24,16
Code block CRC size (bits),-,-
Number of code blocks - C,1,1
Code block size including CRC (bits) (Note 2),5656,2808
Total number of bits per slot,19008,9216
Total resource elements per slot,9504,4608
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1 with l0= 0 and l =10 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].",,
