Reference channel,G-FR2-A3-1,G-FR2-A3-2,G-FR2-A3-3,G-FR2-A3-4,G-FR2-A3-5
Subcarrier spacing [kHz],60,60,120,120,120
Allocated resource blocks,66,132,32,66,132
CP-OFDM Symbols per slot (Note 1),9,9,9,9,9
Modulation,QPSK,QPSK,QPSK,QPSK,QPSK
Code rate (Note 2),193/1024,193/1024,193/1024,193/1024,193/1024
Payload size (bits),2664,5384,1320,2664,5384
Transport block CRC (bits),16,24,16,16,24
Code block CRC size (bits),-,24,-,-,24
Number of code blocks - C,1,2,1,1,2
Code block size including CRC (bits) (Note 2),2680,2728,1336,2680,2728
Total number of bits per slot,14256,28512,6912,14256,28512
Total symbols per slot,7128,14256,3456,7128,14256
"NOTE 1:DM-RS configuration type  = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos0 with l0= 0 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].",,,,,
