Parameter,,Value
Transform precoding,,Disabled
Example UL-DL pattern [Note 1],,"15 kHz SCS: FDD and TDD7D1S2U, S=6D:4G:4U30 kHz SCS: FDD and TDD7D1S2U, S=6D:4G:4U"
HARQ,Maximum number of HARQ transmissions,4
,RV sequence [Note 2],"0, 0, 0, 0 for FDD0, 3, 0, 3 for TDD"
DM-RS,DM-RS configuration type,1
,DM-RS duration,single-symbol DM-RS
,Additional DM-RS position,"pos0, pos1"
,Number of DM-RS CDM group(s) without data,2
,Ratio of PUSCH EPRE to DM-RS EPRE,-3 dB
,DM-RS port,0
,DM-RS sequence generation,"NID0=0, nSCID =0"
Time domain resource assignment,PUSCH mapping type,"A, B"
,Start symbol,0
,Allocation length,14
,PUSCH aggregation factor,n8 for FDD n2 for TDD
pusch-TimeDomainWindowLength,,8 slots for FDD 2 slots for TDD
Frequency domain resource assignment,RB assignment,Full applicable test bandwidth
,Frequency hopping,Disabled
Code block group based PUSCH transmission,,Disabled
"Note 1:The same TDD requirements are applicable to different UL-DL patterns with more than one consecutive UL slots when both pusch-TimeDomainWindowLength and PUSCH aggregation factor are configured as 2 slots. The UL (re)transmission of PUSCH is only scheduled for the actual TDW including 2 consecutive UL slots. Note 2:The effective RV sequence is {0, 2, 3, 1} with slot aggregation.",,
