Reference channel,G-FR1-A11-1,G-FR1-A11-2,G-FR1-A11-3,G-FR1-A11-4,G-FR1-A11-5,G-FR1-A11-6
Subcarrier spacing [kHz],15,15,15,30,30,30
Allocated resource blocks,25,106,270,24,106,273
CP-OFDM Symbols per slot (Note 1),12,12,12,12,12,12
Modulation,64 QAM,64 QAM,64 QAM,64 QAM,64 QAM,64 QAM
Code rate (Note 2),438/1024,438/1024,438/1024,438/1024,438/1024,438/1024
Payload size (bits),36896,155776,401640,35856,155776,401640
Transport block CRC (bits),24,24,24,24,24,24
Code block CRC size (bits),24,24,24,24,24,24
Number of code blocks - C,5,19,48,5,19,48
Code block size including CRC (bits) (Note 2),7408,8224,8392,7200,8224,8392
Total number of bits per slot,86400,366336,933120,82944,366336,943488
Total symbols per slot,14400,61056,155520,13824,61056,157248
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1, l0 = 2 and I = 11 for PUSCH mapping type A, l0 = 0 and I= 10 for PUSCH mapping type B as per table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in clause 5.2.2 of TS 38.212 [15].",,,,,,
