Parameter,,Value
Transform precoding,,Disabled
Default TDD UL-DL pattern (Note 1),,"60 kHz and 120kHz SCS:3D1S1U, S=10D:2G:2U"
HARQ,Maximum number of HARQ transmissions,4
,RV sequence,"0, 2, 3, 1"
DM-RS,DM-RS configuration type,1
,DM-RS duration,single-symbol DM-RS
,Additional DM-RS position,pos1
,Number of DM-RS CDM group(s) without data,2
,Ratio of PUSCH EPRE to DM-RS EPRE,-3 dB
,DM-RS port,0
,DM-RS sequence generation,"NID0=0, nSCID =0"
Time domain resource assignment,PUSCH mapping type,B
,Start symbol,0
,Allocation length,10
,Number of slots allocated for TBoMS PUSCH,2
,Number of repetitions of a single TBoMS,1
Frequency domain resource assignment,RB assignment,5 RBs in the middle of the test bandwidth
,Frequency hopping,Disabled
Code block group based PUSCH transmission,,Disabled
PT-RS configuration,Frequency density (KPT-RS),Disabled
,Time density (LPT-RS),Disabled
Note 1:The same requirements are applicable to TDD with different UL-DL pattern.,,
