BS channel bandwidth (MHz),Subcarrier spacing (kHz),Reference measurement channel,Wanted signal mean power (dBm),Interfering signal mean power (dBm),Type of interfering signal
20,15,G-FR1-A1-14,-96.1,-75.4,"CP-OFDM NR signal, 15 kHz SCS,10 RBs"
,30,G-FR1-A1-15,-93.1,-72.4,"CP-OFDM NR signal, 30 kHz SCS,10 RBs"
,60,G-FR1-A1-9,-92.2,-72.4,"DFT-s-OFDM NR signal, 60 kHz SCS, 5 RBs"
40,15,G-FR1-A1-16,-93.0,-72.2,"CP-OFDM NR signal, 15 kHz SCS,20 RBs"
,30,G-FR1-A1-17,-90.0,-69.2,"CP-OFDM NR signal, 30 kHz SCS,10 RBs"
,60,G-FR1-A1-6,-86.7,-65.6,"DFT-s-OFDM NR signal, 60 kHz SCS,24 RBs"
60,30,G-FR1-A1-18,-88.4,-67.4,"CP-OFDM NR signal, 30 kHz SCS,20 RBs"
,60,G-FR1-A1-6,-86.7,-65.6,"DFT-s-OFDM NR signal, 60 kHz SCS,24 RBs"
80,30,G-FR1-A1-19,-87.1,-66.1,"CP-OFDM NR signal, 30 kHz SCS,20 RBs"
,60,G-FR1-A1-6,-86.7,-65.6,"DFT-s-OFDM NR signal, 60 kHz SCS,24 RBs"
"NOTE:Wanted and interfering signal are placed adjacently around Fc, where the Fc is defined for BS channel bandwidth of the wanted signal according to the table 5.4.2.2-1. The aggregated wanted and interferer signal shall be centred in the BS channel bandwidth of the wanted signal.",,,,,
