Number of TX antennas,Number of demodulation branches,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),Fraction of maximum throughput,FRC(Annex A),Additional DM-RS  position,PT-RS,SNR(dB)
1,2,Normal,TDLA30-300 Low,70 %,G-FR2-A3-1,pos0,No,-2.0
,,,,,G-FR2-A3-13,pos1,No,-2.2
,,Normal,TDLA30-300 Low,70 %,G-FR2-A4-1,pos0,Yes,12.0
,,,,,,,No,11.5
,,,,,G-FR2-A4-11,pos1,Yes,10.7
,,,,,,,No,10.7
,,Normal,TDLA30-75 Low,70 %,G-FR2-A5-1,pos0,Yes,13.7
,,,,,,,No,13.1
,,,,,G-FR2-A5-6,pos1,Yes,13.4
,,,,,,,No,12.9
,,Normal,TDLD30-35 Low,70 %,G-FR2-A9-3,pos0,Yes,19.8
,,,,,,,No,19.4
,,,,,G-FR2-A9-6,pos1,Yes,19.8
,,,,,,,No,19.2
2,,Normal,TDLA30-300 Low,70 %,G-FR2-A3-6,pos0,No,1.5
,,,,,G-FR2-A3-18,pos1,No,1.2
,,Normal,TDLA30-300 Low,70 %,G-FR2-A7-1,pos0,Yes,15.2
,,,,,,,No,14.3
,,,,,G-FR2-A7-6,pos1,Yes,13.8
,,,,,,,No,13.0
