Reference channel,G-FR1-A1-12,G-FR1-A1-13,G-FR1-A1-14,G-FR1-A1-15,G-FR1-A1-16,G-FR1-A1-17,G-FR1-A1-18,G-FR1-A1-19
Channel bandwidth (MHz),10,10,20,20,40,40,60,80
Subcarrier spacing (kHz),15,30,15,30,15,30,30,30
Allocated resource blocks,5,4,10,10,21,21,32,43
CP-OFDM Symbols per slot (Note 1),12,12,12,12,12,12,12,12
Modulation,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Code rate (Note 2),1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3
Payload size (bits),432,352,888,888,1864,1864,2792,3752
Transport block CRC (bits),16,16,16,16,16,16,16,16
Code block CRC size (bits),-,-,-,-,-,-,-,-
Number of code blocks - C,1,1,1,1,1,1,1,1
Code block size including CRC (bits) (Note 3),448,368,904,904,1880,1880,2808,3768
Total number of bits per slot,1440,1152,2880,2880,6048,6048,9216,12384
Total symbols per slot,720,576,1440,1440,3024,3024,4608,6192
"NOTE 1:UL-DMRS-config-type = 1 with UL-DMRS-max-len = 1, UL-DMRS-add-pos = 1 with = 2, = 11 as per table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:MCS index 4 and target coding rate = 308/1024 are adopted to calculate payload size for receiver sensitivity and in-channel selectivityNOTE 3:Code block size including CRC (bits) equals to  in sub-clause 5.2.2 of TS 38.212 [15].NOTE 4:For reference channel A1-12, the allocated RB’s are uniformly spaced over the channel bandwidth at RB index N, N+10, N+20, N+30, N+40 where N={0,1,2,3,4,…,9}.  NOTE 5:For reference channel A1-13, the allocated RB’s are uniformly spaced over the channel bandwidth at RB index N, N+5, N+10, N+15 where N={0,1,2,3,4}.NOTE 7:For reference channel A1-14, the allocated RB’s are uniformly spaced over the channel bandwidth at RB index  N, N+10,N+20,..N+90 where N={0,1,2,3,...,9}.NOTE 8:For reference channel A1-15, the allocated RB’s are uniformly spaced over the channel bandwidth at RB index N, N+5,N+10,..,N+45 where N={0,1,2,3,4}.NOTE 10:For reference channel A1-16, the allocated RB’s are uniformly spaced over the channel bandwidth at RB index  N, N+10,N+20,...,N+200 where N={0,1,2,3,4,...,9}.NOTE 11:For reference channel A1-17, the allocated RB’s are uniformly spaced over the channel bandwidth at RB index N, N+5, N+10, ..., N+100 where N={0,1,2,3,4}.NOTE 12:For reference channel A1-18, the allocated RB’s are uniformly spaced over the channel bandwidth at RB index N, N+5,N+10,...,N+155 where N={0,1,2,3,4}.NOTE 13:For reference channel A1-19, the allocated RB’s are uniformly spaced over the channel bandwidth at RB index N, N+5,N+10,...,N+210 where N={0,1,2,3,4}.",,,,,,,,
