BS channel bandwidth (MHz),Subcarrier spacing (kHz),Reference measurement channel,Wanted signal mean power (dBm),Interfering signal mean power (dBm) / BWConfig,Type of interfering signal
5,15,G-FR1-A2-1,-70.7- ΔOTAREFSENS,-82.5- ΔOTAREFSENS,AWGN
,30,G-FR1-A2-2,-71.4- ΔOTAREFSENS,,
7,15,G-FR1-A2-1,-70.7- ΔOTAREFSENS,-81.0- ΔOTAREFSENS,AWGN
10,15,G-FR1-A2-1,-70.7- ΔOTAREFSENS,-79.3- ΔOTAREFSENS,AWGN
,30,G-FR1-A2-2,-71.4- ΔOTAREFSENS,,
,60,G-FR1-A2-3,-68.4- ΔOTAREFSENS,,
15,15,G-FR1-A2-1,-70.7- ΔOTAREFSENS,-77.5- ΔOTAREFSENS,AWGN
,30,G-FR1-A2-2,-71.4- ΔOTAREFSENS,,
,60,G-FR1-A2-3,-68.4- ΔOTAREFSENS,,
20,15,G-FR1-A2-4,-64.5- ΔOTAREFSENS,-76.2- ΔOTAREFSENS,AWGN
,30,G-FR1-A2-5,-64.5- ΔOTAREFSENS,,
,60,G-FR1-A2-6,-64.8- ΔOTAREFSENS,,
25,15,G-FR1-A2-4,-64.5- ΔOTAREFSENS,-75.2- ΔOTAREFSENS,AWGN
,30,G-FR1-A2-5,-64.5- ΔOTAREFSENS,,
,60,G-FR1-A2-6,-64.8- ΔOTAREFSENS,,
30,15,G-FR1-A2-4,-64.5- ΔOTAREFSENS,-74.4- ΔOTAREFSENS,AWGN
,30,G-FR1-A2-5,-64.5- ΔOTAREFSENS,,
,60,G-FR1-A2-6,-64.8- ΔOTAREFSENS,,
35,15,G-FR1-A2-4,-64.5- ΔOTAREFSENS,-73.7- ΔOTAREFSENS,AWGN
,30,G-FR1-A2-5,-64.5- ΔOTAREFSENS,,
,60,G-FR1-A2-6,-64.8- ΔOTAREFSENS,,
40,15,G-FR1-A2-4,-64.5- ΔOTAREFSENS,-73.1- ΔOTAREFSENS,AWGN
,30,G-FR1-A2-5,-64.5- ΔOTAREFSENS,,
,60,G-FR1-A2-6,-64.8- ΔOTAREFSENS,,
45,15,G-FR1-A2-4,-64.5- ΔOTAREFSENS,-72.6- ΔOTAREFSENS,AWGN
,30,G-FR1-A2-5,-64.5- ΔOTAREFSENS,,
,60,G-FR1-A2-6,-64.8- ΔOTAREFSENS,,
50,15,G-FR1-A2-4,-64.5- ΔOTAREFSENS,-72.1- ΔOTAREFSENS,AWGN
,30,G-FR1-A2-5,-64.5- ΔOTAREFSENS,,
,60,G-FR1-A2-6,-64.8- ΔOTAREFSENS,,
60,30,G-FR1-A2-5,-64.5- ΔOTAREFSENS,-71.3- ΔOTAREFSENS,AWGN
,60,G-FR1-A2-6,-64.8- ΔOTAREFSENS,,
70,30,G-FR1-A2-5,-64.5- ΔOTAREFSENS,-70.7- ΔOTAREFSENS,AWGN
,60,G-FR1-A2-6,-64.8- ΔOTAREFSENS,,
80,30,G-FR1-A2-5,-64.5- ΔOTAREFSENS,-70.1- ΔOTAREFSENS,AWGN
,60,G-FR1-A2-6,-64.8- ΔOTAREFSENS,,
90,30,G-FR1-A2-5,-64.5- ΔOTAREFSENS,-69.5- ΔOTAREFSENS,AWGN
,60,G-FR1-A2-6,-64.8- ΔOTAREFSENS,,
100,30,G-FR1-A2-5,-64.5- ΔOTAREFSENS,-69.1- ΔOTAREFSENS,AWGN
,60,G-FR1-A2-6,-64.8- ΔOTAREFSENS,,
"NOTE:The wanted signal mean power is the power level of a single instance of the corresponding reference measurement channel. This requirement shall be met for each consecutive application of a single instance of the reference measurement channel mapped to disjoint frequency ranges with a width corresponding to the number of resource blocks of the reference measurement channel each, except for one instance that might overlap one other instance to cover the full BS channel bandwidth.",,,,,
