BS channel bandwidth (MHz),Sub-carrier spacing (kHz),Reference measurement channel(Note 5),"Reference sensitivity power level, PREFSENS (dBm)"
3,15,G-FR1-A1-7 (Note 1),-98.6
,,G-FR1-A1-21 (Note 6),-98.6 (Note 2)
"5, 7, 10, 15",15,G-FR1-A1-1 (Note 1),-96.7
,,G-FR1-A1-10 (Note 3),-96.7 (Note 2)
"10, 15",30,G-FR1-A1-2 (Note 1),-96.8
"10, 15",60,G-FR1-A1-3 (Note 1),-93.9
"20, 25, 30, 35, 40, 45, 50",15,G-FR1-A1-4 (Note 1),-90.3
,,G-FR1-A1-11 (Note 4),-90.3 (Note 2)
"20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",30,G-FR1-A1-5 (Note 1),-90.6
"20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",60,G-FR1-A1-6 (Note 1),-90.7
"Note 1:PREFSENS is the power level of a single instance of the reference measurement channel. This requirement shall be met for each consecutive application of a single instance of the reference measurement channel mapped to disjoint frequency ranges with a width corresponding to the number of resource blocks of the reference measurement channel each, except for one instance that might overlap one other instance to cover the full BS channel bandwidth.Note 2:The requirements apply to BS that supports NB-IoT operation in NR in-band.Note 3:PREFSENS is the power level of a single instance of the reference measurement channel. This requirement shall be met for a single instance of G-FR1-A1-10 mapped to the 24 NR resource blocks adjacent to the NB-IoT PRB, and for each consecutive application of a single instance of G-FR1-A1-1 mapped to disjoint frequency ranges with a width of 25 resource blocks each.Note 4:PREFSENS is the power level of a single instance of the reference measurement channel. This requirement shall be met for a single instance of G-FR1-A1-11 mapped to the 105 NR resource blocks adjacent to the NB-IoT PRB, and for each consecutive application of a single instance of G-FR1-A1-4 mapped to disjoint frequency ranges with a width of 106 resource blocks each.Note 5:These reference measurement channels are not applied for band n46, n96 and n102.Note 6: PREFSENS is the power level of a single instance of the reference measurement channel. This requirement shall be met for a single instance of G-FR1-A1-21 mapped to the 12 NR resource blocks adjacent to the NB-IoT PRB, and for each consecutive application of a single instance of G-FR1-A1-7 mapped to disjoint frequency ranges with a width of 15 resource blocks each.",,,
