Reference channel,G-FR2-A4-6,G-FR2-A4-7,G-FR2-A4-8,G-FR2-A4-9,G-FR2-A4-10
Subcarrier spacing [kHz],60,60,120,120,120
Allocated resource blocks,66,132,32,66,132
CP-OFDM Symbols per slot (Note 1),9,9,9,9,9
Modulation,16QAM,16QAM,16QAM,16QAM,16QAM
Code rate (Note 2),658/1024,658/1024,658/1024,658/1024,658/1024
Payload size (bits),36896,73776,17928,36896,73776
Transport block CRC (bits),24,24,24,24,24
Code block CRC size (bits),24,24,24,24,24
Number of code blocks - C,5,9,3,5,9
Code block size including CRC (bits) (Note 2),7408,8224,6008,7408,8224
Total number of bits per slot without PT-RS,57024,114048,27648,57024,114048
Total number of bits per slot with PT-RS (Note 3),54648,109296,26496,54648,109296
Total symbols per slot without PT-RS,14256,28512,6912,14256,28512
Total symbols per slot with PT-RS (Note 3),13662,27324,6624,13662,27324
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos0 with l0= 0 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].NOTE 3:PT-RS configuration KPT-RS =2, LPT-RS =1.",,,,,
