Parameter,,Value
Transform precoding,,Disabled
Default TDD UL-DL pattern (Note 1),,"60 kHz and 120kHz SCS:3D1S1U, S=10D:2G:2U480kHz SCS:14D2S4U, S1=12D:2G0U, S2=0D:6G:8U"
HARQ,Maximum number of HARQ transmissions,4
,RV sequence,"0, 2, 3, 1"
DM-RS,DM-RS configuration type,1
,DM-RS duration,single-symbol DM-RS
,Additional DM-RS symbols,"pos0, pos1"
,Number of DM-RS CDM group(s) without data,2
,Ratio of PUSCH EPRE to DM-RS EPRE,-3 dB
,DM-RS port(s),"{0}, {0, 1}"
,DM-RS sequence generation,"NID=0, nSCID =0"
Time domain,PUSCH mapping type,B
resource,Start symbol index,0
,Allocation length,10
Frequency domain,RB assignment,Full applicable test bandwidth
resource,Frequency hopping,Disabled
TPMI index for 2Tx two-layer spatial multiplexing transmission,,0
Code block group based PUSCH transmission,,Disabled
PT-RS,Frequency density (KPT-RS),"2, Disabled"
configuration,Time density (LPT-RS),"1, Disabled"
NOTE 1:The same requirements are applicable to TDD with different UL-DL patterns,,
