BS channel bandwidth (MHz),Subcarrier spacing (kHz),Reference measurement channel(Note 2),Wanted signal mean power (dBm),Interfering signal mean power (dBm) / BWConfig,Type of interfering signal
3,15,G-FR1-A2-15,-68.6,-79.7,AWGN
5,15,G-FR1-A2-1,-65.7,-77.5,AWGN
,30,G-FR1-A2-2,-66.4,,
7,15,G-FR1-A2-1,-65.7,-76.0,AWGN
10,15,G-FR1-A2-1,-65.7,-74.3,AWGN
,30,G-FR1-A2-2,-66.4,,
,60,G-FR1-A2-3,-63.4,,
15,15,G-FR1-A2-1,-65.7,-72.5,AWGN
,30,G-FR1-A2-2,-66.4,,
,60,G-FR1-A2-3,-63.4,,
20,15,G-FR1-A2-4,-59.5,-71.2,AWGN
,30,G-FR1-A2-5,-59.5,,
,60,G-FR1-A2-6,-59.8,,
25,15,G-FR1-A2-4,-59.5,-70.2,AWGN
,30,G-FR1-A2-5,-59.5,,
,60,G-FR1-A2-6,-59.8,,
30,15,G-FR1-A2-4,-59.5,-69.4,AWGN
,30,G-FR1-A2-5,-59.5,,
,60,G-FR1-A2-6,-59.8,,
35,15,G-FR1-A2-4,-59.5,-68.7,AWGN
,30,G-FR1-A2-5,-59.5,,
,60,G-FR1-A2-6,-59.8,,
40,15,G-FR1-A2-4,-59.5,-68.1,AWGN
,30,G-FR1-A2-5,-59.5,,
,60,G-FR1-A2-6,-59.8,,
45,15,G-FR1-A2-4,-59.5,-67.6,AWGN
,30,G-FR1-A2-5,-59.5,,
,60,G-FR1-A2-6,-59.8,,
50,15,G-FR1-A2-4,-59.5,-67.1,AWGN
,30,G-FR1-A2-5,-59.5,,
,60,G-FR1-A2-6,-59.8,,
60,30,G-FR1-A2-5,-59.5,-66.3,AWGN
,60,G-FR1-A2-6,-59.8,,
70,30,G-FR1-A2-5,-59.5,-65.7,AWGN
,60,G-FR1-A2-6,-59.8,,
80,30,G-FR1-A2-5,-59.5,-65.1,AWGN
,60,G-FR1-A2-6,-59.8,,
90,30,G-FR1-A2-5,-59.5,-64.5,AWGN
,60,G-FR1-A2-6,-59.8,,
100,30,G-FR1-A2-5,-59.5,-64.1,AWGN
,60,G-FR1-A2-6,-59.8,,
"NOTE 1:The wanted signal mean power is the power level of a single instance of the corresponding reference measurement channel. This requirement shall be met for each consecutive application of a single instance of the reference measurement channel mapped to disjoint frequency ranges with a width corresponding to the number of resource blocks of the reference measurement channel each, except for one instance that might overlap one other instance to cover the full BS channel bandwidth.NOTE 2:These reference measurement channels are not applied for band n46, n96 and n102.",,,,,
