Reference channel,G-FR1-A4-29,G-FR1-A4-29A,G-FR1-A4-30,G-FR1-A4-30A
Subcarrier spacing [kHz],15,15,30,30
Allocated resource blocks,52,25,106,24
Data bearing CP-OFDM Symbols per slot (Note 1),11,11,11,11
Modulation,16QAM,16QAM,16QAM,16QAM
Code rate (Note 2),658/1024,658/1024,658/1024,658/1024
Payload size (bits),17424,8456,35856,8064
Transport block CRC (bits),24,24,24,24
Code block CRC size (bits),24,24,24,-
Number of code blocks - C,3,2,5,1
Code block size including CRC (bits) (Note 2),5840,4264,7200,8088
Total number of bits per slot,27456,13200,55968,12672
Total resource elements per slot,6864,3300,13992,3168
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos2, and l0=  2 or 3 for PUSCH mapping type A, as per table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in clause 5.2.2 of TS 38.212 [15].",,,,
