BS channel bandwidth (MHz),Reference measurement channel,Wanted signal mean power (dBm),Interfering signal mean power (dBm) / BWConfig,Type of interfering signal
3,,,-76.7,
5,,,-74.5,
7,,,-73.0,
10,,,-71.3,
15,FRC A15-1 in,,-69.5,
20,Annex A.15 in,-91.7,-68.2,AWGN
25,TS 36.104 [13],,-67.2,
30,,,-66.4,
35,,,-65.7,
40,,,-65.1,
45,,,-64.6,
50,,,-64.1,
3,,,-76.7,
5,,,-74.5,
7,,,-73.0,
10,,,-71.3,
15,FRC A15-2 in,,-69.5,
20,Annex A.15 in,-97.6,-68.2,AWGN
25,TS 36.104 [13],,-67.2,
30,,,-66.4,
35,,,-65.7,
40,,,-65.1,
45,,,-64.6,
50,,,-64.1,
