BS channel bandwidth (MHz),Subcarrier spacing (kHz),Reference measurement channel,Wanted signal mean power (dBm),Interfering signal mean power (dBm) / BWConfig,Type of interfering signal
10,15,G-FR1-A2-7 (Note 2),-72.8,-74.3,AWGN
,30,G-FR1-A2-8(Note 2),-70.6,,
,60,"G-FR1-A2-3(Note 1, 3)",-63.4,,
20,15,G-FR1-A2-9(Note 2),-69.8,-71.2,AWGN
,30,G-FR1-A2-10(Note 2),-66.8,,
,60,"G-FR1-A2-6(Note 1, 3)",-59.8,,
40,15,G-FR1-A2-11(Note 2),-66.7,-68.1,AWGN
,30,G-FR1-A2-12(Note 2),-63.7,,
,60,"G-FR1-A2-6(Note 1, 3)",-59.8,,
60,30,G-FR1-A2-13(Note 2),-61.9,-66.3,AWGN
,60,"G-FR1-A2-6(Note 1, 3)",-59.8,,
80,30,G-FR1-A2-14(Note 2),-60.7,-65.1,AWGN
,60,"G-FR1-A2-6(Note 1, 3)",-59.8,,
"Note 1:The wanted signal mean power is the power level of a single instance of the corresponding reference measurement channel. This requirement shall be met for each consecutive application of a single instance of the reference measurement channel mapped to disjoint frequency ranges with a width corresponding to the number of resource blocks of the reference measurement channel each, except for one instance that might overlap one other instance to cover the full BS channel bandwidth.Note 2:The wanted signal mean power is the power level of a single instance of the corresponding reference measurement channel. This requirement shall be met for each interleaved application of a single instance of the reference measurement channel mapped to disjoint frequency ranges with a width corresponding to the number of resource blocks of the reference measurement channel each, except for one instance that might overlap one other instance to cover the full BS channel bandwidth.Note 3:For 60kHz SCS reference measurement channel is reused from Table 7.3.2-2.",,,,,
