Frequency Range,BS channel bandwidth of the lowest/highest carrier received (MHz),Interfering signal centre frequency offset from the lower/upper Base Station RF Bandwidth edge (MHz),Type of interfering signal
FR2-1,50,±7.5,CW
,,±40,50MHz DFT-s-OFDM NR signal(Note 1)
,100,±6.88,CW
,,±40,50MHz DFT-s-OFDM NR signal(Note 1)
,200,±5.64,CW
,,±40,50MHz DFT-s-OFDM NR signal(Note 1)
,400,±6.02,CW
,,±45,50MHz DFT-s-OFDM NR signal(Note 1)
FR2-2,100,±7.5,CW
,,±65,100MHz DFT-s-OFDM NR signal(Note 2)
,400,±6.28,CW
,,±70,100MHz DFT-s-OFDM NR signal(Note 2)
,800,[±7.3],CW
,,[±105],100MHz DFT-s-OFDM NR signal(Note 2)
,1600,[±5.86],CW
,,[±145],100MHz DFT-s-OFDM NR signal(Note 2)
,2000,±7.48,CW
,,±210,100MHz DFT-s-OFDM NR signal(Note 2)
"NOTE 1:Number of RBs is 64 for the 60 kHz subcarrier spacing, 32 for the 120 kHz subcarrier spacingNOTE 2:Number of RBs is 64 with 120 kHz subcarrier spacing.",,,
