Parameter,,Value
Transform precoding,,Disabled
Default TDD UL-DL pattern (Note 1),,"60 kHz and 120kHz SCS:3D1S1U, S=10D:2G:2U"
HARQ,Maximum number of HARQ transmissions,1
,RV sequence,0
DM-RS,DM-RS configuration type,1
,DM-RS duration,single-symbol DM-RS
,Additional DM-RS symbols,Pos0
,Number of DM-RS CDM group(s) without data,2
,Ratio of PUSCH EPRE to DM-RS EPRE,-3 dB
,DM-RS port(s),0
,DM-RS sequence generation,"NID=0, nSCID =0"
Time domain,PUSCH mapping type,B
resource,Start symbol index,0
,Allocation length,4
Frequency domain,RB assignment,Full applicable test bandwidth
resource,Frequency hopping,Disabled
Code block group based PUSCH transmission,,Disabled
PT-RS,Frequency density (KPT-RS),Disabled
configuration,Time density (LPT-RS),Disabled
NOTE 1:The same requirements are applicable to TDD with different UL-DL patterns,,
