BS channel bandwidth (MHz),Subcarrier spacing (kHz),Reference measurement channel,Wanted signal mean power (dBm),Interfering signal mean power (dBm),Type of interfering signal
3,15,G-FR1-A1-20,-97.8,-78.6,"DFT-s-OFDM NR signal, 15 kHz SCS,6 RBs"
5,15,G-FR1-A1-7,-95.6,-76.4,"DFT-s-OFDM NR signal, 15 kHz SCS,10 RBs"
7,15,G-FR1-A1-7,-95.6,-74.6,"DFT-s-OFDM NR signal, 15 kHz SCS,15 RBs"
"10, 15, 20, 25, 30, 35",15,G-FR1-A1-1,-93.7,-72.4,"DFT-s-OFDM NR signal, 15 kHz SCS,25 RBs"
"40, 45, 50",15,G-FR1-A1-4,-87.3,-66.4,"DFT-s-OFDM NR signal, 15 kHz SCS,100 RBs"
5,30,G-FR1-A1-8,-96.3,-76.4,"DFT-s-OFDM NR signal, 30 kHz SCS,5 RBs"
"10, 15, 20, 25, 30, 35",30,G-FR1-A1-2,-93.8,-73.4,"DFT-s-OFDM NR signal, 30 kHz SCS,10 RBs"
"40, 45, 50, 60, 70, 80, 90, 100",30,G-FR1-A1-5,-87.6,-66.4,"DFT-s-OFDM NR signal, 30 kHz SCS,50 RBs"
"10, 15, 20, 25, 30, 35",60,G-FR1-A1-9,-93.2,-73.4,"DFT-s-OFDM NR signal, 60 kHz SCS,5 RBs"
"40, 45, 50, 60, 70, 80, 90, 100",60,G-FR1-A1-6,-87.7,-66.6,"DFT-s-OFDM NR signal, 60 kHz SCS,24 RBs"
"NOTE:Wanted and interfering signal are placed adjacently around Fc, where the Fc is defined for BS channel bandwidth of the wanted signal according to the table 5.4.2.2-1. The aggregated wanted and interferer signal shall be centred in the BS channel bandwidth of the wanted signal.",,,,,
