Parameter,,Value
Transform precoding,,Disabled
Uplink-downlink allocation for TDD,,"15 kHz SCS:3D1S1U, S=10D:2G:2U30 kHz SCS:7D1S2U, S=6D:4G:4U"
Channel bandwidth,,"15 kHz SCS: 5Mhz, 10 MHz30 kHz SCS: 10MHz, 40 MHz"
MCS,,16
HARQ,Maximum number of HARQ transmissions,4
,RV sequence,"0, 2, 3, 1"
DM-RS,DM-RS configuration type,1
,DM-RS duration,single-symbol DM-RS
,DM-RS position (l0),2
,Additional DM-RS position,pos2
,Number of DM-RS CDM group(s) without data,2
,Ratio of PUSCH EPRE to DM-RS EPRE,-3 dB
,DM-RS port,{0}
Time domain resource assignment,DM-RS sequence generation,"NID0=0, nSCID =0 for moving UENID0=1, nSCID =1 for stationary UE"
,PUSCH mapping type,Both A and B
,Allocation length,14
Frequency domain resource assignment,RB assignment,5 MHz CBW/15kHz SCS: 12 RB for each UE10MHz CBW/15kHz SCS: 25 RB for each UE10MHz CBW/30kHz SCS: 12 RB for each UE40MHz CBW/30kHz SCS: 50 RB for each UE
,Starting PRB index,"Moving UE: 0 Stationary UE: 12 for 5MHz, 25 for 10 MHz CBW for SCS 15kHz, and 12 for 10MHz, 50 for 40 MHz CBW for SCS 30kHz"
,Frequency hopping,Disabled
SRS resource allocation,Slots in which sounding RS is transmitted (Note 1),For FDD: slot #1 in radio framesFor TDD: -last symbol in slot #3  in radio frames for 15KHz-last symbol in slot #7  in radio frames for 30KHz
,SRS resource allocation,"15 kHz SCS: CSRS = 5, BSRS =0, for 20 RBCSRS = 11, BSRS =0, for 40 RB30 kHz SCS: CSRS =5, BSRS =0, for 20 RBCSRS = 21, BSRS =0, for 80 RB"
"NOTE 1.The transmission of SRS is optional. And the transmission comb and SRS periodicity are configured as KTC = 2, and TSRS = 10 for 15 kHz SCS, TSRS = 20 for 30 kHz SCS respectively.",,
