BS channel bandwidth (MHz),Reference measurement channel,Wanted signal mean power (dBm),Interfering signal mean power (dBm) / BWConfig,Type of interfering signal
3,,,-79.7,
5,,,-77.5,
7,,,-76.0,
10,,,-74.3,
15,FRC A15-1 in,,-72.5,
20,Annex A.15 in,-94.7,-71.2,AWGN
25,TS 36.104 [13],,-70.2,
30,,,-69.4,
35,,,-68.7,
40,,,-68.1,
45,,,-67.6,
50,,,-67.1,
3,,,-79.7,
5,,,-77.5,
7,,,-76.0,
10,,,-74.3,
15,FRC A15-2 in,,-72.5,
20,Annex A.15 in,-100.6,-71.2,AWGN
25,TS 36.104 [13],,-70.2,
30,,,-69.4,
35,,,-68.7,
40,,,-68.1,
45,,,-67.6,
50,,,-67.1,
