Channelbandwidth (MHz),FFT size,CP length in FFT samples,EVM window length W,Ratio of W to total CP length (Note) (%)
10,256,18,8,40
15,384,27,11,40
20,512,36,14,40
25,512,36,18,50
30,768,54,26,50
35,768,54,26,50
40,1024,72,36,50
45,1024,72,36,50
50,1024,72,36,50
60,1536,108,64,60
70,1536,108,64,60
80,2048,144,86,60
90,2048,144,86,60
100,2048,144,86,60
NOTE:These percentages are informative and apply to all OFDM symbols within subframe except for symbol 0 of slot 0 and slot 2. Symbol 0 of slot 0 and slot 2 may have a longer CP and therefore a lower percentage.,,,,
