Reference channel,G-FR1-A9-1,G-FR1-A9-2,G-FR1-A9-3,G-FR1-A9-4,G-FR1-A9-5
Subcarrier spacing [kHz],15,15,30,30,30
Allocated resource blocks,25,52,24,106,273
CP-OFDM Symbols per slot (Note 1),12,12,12,12,12
Modulation,256QAM,256QAM,256QAM,256QAM,256QAM
Code rate (Note 2),682/1024,682/1024,682/1024,682/1024,682/1024
Payload size (bits),18960,39936,18432,81976,208976
Transport block CRC (bits),24,24,24,24,24
Code block CRC size (bits),24,24,24,24,24
Number of code blocks - C,3,5,3,10,25
Code block size including CRC (bits) (Note 2),6352,8016,6176,8224,8384
Total number of bits per slot,28800,59904,27648,122112,314496
Total symbols per slot,3600,7488,3456,15264,39312
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1, l0= 2 and l =11 for PUSCH mapping type A, l0= 0 and l =10 for PUSCH mapping type B as per table 6.4.1.1.3-3 of TS 38.211 [5].NOTE 2:Code block size including CRC (bits) equals to K' in clause 5.2.2 of TS 38.212 [15].",,,,,
