Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),Fraction of maximum throughput,FRC(Annex A),Additional DM-RS position,SNR(dB)
1,2,Normal,TDLA30-10 Low,70%,G-FR1-A3B-8,pos0,-2.8
,,,,,G-FR1-A3B-6,pos1,-3.3
,4,Normal,TDLA30-10 Low,70%,G-FR1-A3B-8,pos0,-6.5
,,,,,G-FR1-A3B-6,pos1,-7.0
,8,Normal,TDLA30-10 Low,70%,G-FR1-A3B-8,pos0,-9.7
,,,,,G-FR1-A3B-6,pos1,-10.3
