Spurious frequency range (Note 4),Limit(Note 5),Measurement Bandwidth,Note
30 MHz    1 GHz,-36 dBm,100 kHz,Note 1
1 GHz    18 GHz,-30 dBm,1 MHz,Note 1
"18 GHz    Fstep,1",-20 dBm,10 MHz,Note 2
"Fstep,1    Fstep,2",-15 dBm,10 MHz,Note 2
"Fstep,2    Fstep,3",-10 dBm,10 MHz,Note 2
"Fstep,4    Fstep,5",-10 dBm,10 MHz,Note 2
"Fstep,5    Fstep,6",-15 dBm,10 MHz,Note 2
"Fstep,6    2nd harmonic of the upper frequency edge of the UL operating band",-20 dBm,10 MHz,"Note 2, Note 3"
"NOTE 1:Bandwidth as in ITU-R SM.329 [2], s4.1.NOTE 2:Limit and bandwidth as in ERC Recommendation 74-01 [19], Annex 2.NOTE 3:Upper frequency as in ITU-R SM.329 [2], s2.5 table 1.NOTE 4:The step frequencies Fstep,X are defined in table 10.7.3-2.NOTE 5:Additional limits may apply regionally.",,,
