Parameter,,Value
Transform precoding,,Disabled
Channel bandwidth,,60 kHz SCS: 50 MHz120 kHz SCS: 100 MHz
MCS,,2
DM-RS,DM-RS configuration type,1
,DM-RS duration,single-symbol DM-RS
,Additional DM-RS symbols,pos1
,Number of DM-RS CDM group(s) without data,2
,Ratio of PUSCH EPRE to DM-RS EPRE,-3 dB
,DM-RS port(s),{0}
,DM-RS sequence generation,"NID=0, nSCID =0"
Time domain resource,PUSCH mapping type,B
,Start symbol,0
,Allocation length,10
Frequency domain resource,RB assignment,2 PRB
,Starting PRB index,0
,Frequency hopping,Disabled
Time Offset (TO),,60 kHz SCS: 0 to 0.6120kHz SCS: 0 to 0.5
Note1: The power ratio between preamble and msgA is assumed to be sufficient to achieve 100% preamble detection. The SNR for the requirement is defined on the msgA PUSCH.,,
