Reference channel,G-FR2-A4-16,G-FR2-A4-17,G-FR2-A4-18,G-FR2-A4-19,G-FR2-A4-20
Subcarrier spacing [kHz],60,60,120,120,120
Allocated resource blocks,66,132,32,66,132
CP-OFDM Symbols per slot (Note 1),8,8,8,8,8
Modulation,16QAM,16QAM,16QAM,16QAM,16QAM
Code rate (Note 2),658/1024,658/1024,658/1024,658/1024,658/1024
Payload size (bits),32776,65576,15880,32776,65576
Transport block CRC (bits),24,24,24,24,24
Code block CRC size (bits),24,24,24,24,24
Number of code blocks - C,4,8,2,4,8
Code block size including CRC (bits) (Note 2),8224,8224,7976,8224,8224
Total number of bits per slot without PT-RS,50688,101376,24576,50688,101376
Total number of bits per slot with PT-RS (Note 3),48576,97152,23552,48576,97152
Total symbols per slot without PT-RS,12672,25344,6144,12672,25344
Total symbols per slot with PT-RS (Note 3),12144,24288,5888,12144,24288
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1 with l0= 0 and l =8 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].NOTE 3:PT-RS configuration KPT-RS =2, LPT-RS =1.",,,,,
