Reference channel,G-FR1-A3-43,G-FR1-A3-44,G-FR1-A3-45,G-FR1-A3-46
Subcarrier spacing [kHz],15,15,30,30
Allocated resource blocks,25,270,24,273
CP-OFDM Symbols per slot (Note 1),12,12,12,12
Modulation,QPSK,QPSK,QPSK,QPSK
Code rate (Note 2),193/1024,193/1024,193/1024,193/1024
Payload size (bits),4040,44040,3912,44040
Transport block CRC (bits),24,24,24,24
Code block CRC size (bits),24,24,24,24
Number of code blocks - C,2,12,2,12
Code block size including CRC (bits) (Note 2),2056,3696,1992,3696
Total number of bits per slot,21600,233280,20736,235872
Total symbols per slot,10800,116640,10368,117936
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1, l0 = 2 and I = 11 for PUSCH mapping type A, l0 = 0 and I= 10 for PUSCH mapping type B as per table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in clause 5.2.2 of TS 38.212 [15].",,,,
