Reference channel,G-FR2-A3-11,G-FR2-A3-12
Subcarrier spacing [kHz],60,120
Allocated resource blocks,30,30
DFT-s-OFDM Symbols per slot (Note 1),9,9
Modulation,QPSK,QPSK
Code rate (Note 2),193/1024,193/1024
Payload size (bits),1224,1224
Transport block CRC (bits),16,16
Code block CRC size (bits),-,-
Number of code blocks - C,1,1
Code block size including CRC (bits) (Note 2),1240,1240
Total number of bits per slot,6480,6480
Total symbols per slot,3240,3240
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos0 with l0= 0 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].",,
