Requirement,Requirement Set for non-SBFD symbols/slots,,,Requirement Set for SBFD symbols/slots,,
,BS type 1-H,BS type 1-O,BS type 2-O,BS type 1-H,BS type 1-O,BS type 2-O
BS output power,6.2,,,12.2.2,,
Output power dynamics,6.3,,,12.2.3,,
Transmit ON/OFF power,6.4,,,12.2.4,,
Transmitted signal quality,6.5,,,12.2.5,,
Occupied bandwidth,6.6.2,,,12.2.6,,
ACLR,6.6.3,,,12.2.6,,
Operating band unwantedemissions,6.6.4,,,12.2.6,,
Transmitter spurious emissions,6.6.5,,,12.2.6,,
Transmitter intermodulation,6.7,NA,NA,12.2.7,NA,NA
Transient period between SBFD and non-SBFD,NA,,,12.2.8,,
In-channel adjacent subband leakage,NA,,,12.2.9,,
Reference sensitivity level,7.2,,,12.3.2,,
Dynamic range,7.3,,,12.3.3,,
In-band selectivity and blocking,7.4,,,12.3.4,,
Out-of-band blocking,7.5,,,12.3.5,,
Receiver spurious emissions,7.6,,,12.3.6,,
Receiver intermodulation,7.7,,,N/A,,
In-channel selectivity,7.8,,,12.3.7,,
In-channel adjacent subband blocking,NA,,,12.3.8,,
Performance requirements,8,,,12.4,,
Radiated transmit power,9.2,9.2,9.2,12.5.2,12.5.2,12.5.2
OTA base station output power,,9.3,9.3,,12.5.3,12.5.3
OTA output power dynamics,,9.4,9.4,,12.5.4,12.5.4
OTA transmit ON/OFF power,,9.5,9.5,,12.5.5,12.5.5
OTA transmitted signal quality,,9.6,9.6,,12.5.6,12.5.6
OTA occupied bandwidth,,9.7.2,9.7.2,,12.5.7,12.5.7
OTA ACLR,NA,9.7.3,9.7.3,NA,12.5.7,12.5.7
OTA operating band unwanted emission,,9.7.4,9.7.4,,12.5.7,12.5.7
OTA transmitter spurious emission,,9.7.5,9.7.5,,12.5.7,12.5.7
OTA transmitter intermodulation,,9.8,NA,,12.5.8,NA
OTA spatial emission,,9.9,NA,,12.5.9,NA
OTA transient period between SBFD and non-SBFD,,NA,NA,,12.5.10,12.5.10
OTA in-channel adjacent subband leakage,,NA,NA,,12.5.11,12.5.11
OTA sensitivity,10.2,10.2,NA,12.6.2,12.6.2,NA
OTA reference sensitivity level,,10.3,10.3,,12.6.3,12.6.3
OTA dynamic range,,10.4,NA,,12.6.4,NA
OTA in-band selectivity and blocking,,10.5,10.5,,12.6.5,12.6.5
OTA out-of-band blocking,NA,10.6,10.6,NA,12.6.6,12.6.6
OTA receiver spurious emission,,10.7,10.7,,12.6.7,12.6.7
OTA receiver intermodulation,,10.8,10.8,,N/A,N/A
OTA in-channel selectivity,,10.9,10.9,,12.6.8,12.6.8
OTA in-channel adjacent subband blocking,,NA,NA,,12.6.9,12.6.9
Radiated performance requirements,,11,11,,12.7,12.7
