Reference channel,G-FR1-A7-1,G-FR1-A7-2,G-FR1-A7-3,G-FR1-A7-4
Subcarrier spacing [kHz],15,15,30,30
Allocated resource blocks,25,270,24,273
CP-OFDM Symbols per slot (Note 1),12,12,12,12
Modulation,16 QAM,16 QAM,16 QAM,16 QAM
Code rate (Note 2),434/1024,434/1024,434/1024,434/1024
Payload size (bits),24576,262376,23568,270576
Transport block CRC (bits),24,24,24,24
Code block CRC size (bits),24,24,24,24
Number of code blocks - C,3,32,3,33
Code block size including CRC (bits) (Note 2),8224,8224,7888,8224
Total number of bits per slot,57600,622080,55296,628992
Total symbols per slot,14400,155520,13824,157248
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1, l0 = 2 and I = 11 for PUSCH mapping type A, l0 = 0 and I= 10 for PUSCH mapping type B as per table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in clause 5.2.2 of TS 38.212 [15].",,,,
