BS channel bandwidth (MHz),Subcarrier spacing (kHz),Reference measurement channel,Wanted signal mean power (dBm),Interfering signal mean power (dBm) / BWConfig,Type of interfering signal
3,15,G-FR1-A2-15,-65.6,-76.7,AWGN
5,15,G-FR1-A2-1,-62.7,-74.5,AWGN
,30,G-FR1-A2-2,-63.4,,
7,15,G-FR1-A2-1,-62.7,-73.0,AWGN
10,15,G-FR1-A2-1,-62.7,-71.3,AWGN
,30,G-FR1-A2-2,-63.4,,
,60,G-FR1-A2-3,-60.4,,
15,15,G-FR1-A2-1,-62.7,-69.5,AWGN
,30,G-FR1-A2-2,-63.4,,
,60,G-FR1-A2-3,-60.4,,
20,15,G-FR1-A2-4,-56.5,-68.2,AWGN
,30,G-FR1-A2-5,-56.5,,
,60,G-FR1-A2-6,-56.8,,
25,15,G-FR1-A2-4,-56.5,-67.2,AWGN
,30,G-FR1-A2-5,-56.5,,
,60,G-FR1-A2-6,-56.8,,
30,15,G-FR1-A2-4,-56.5,-66.4,AWGN
,30,G-FR1-A2-5,-56.5,,
,60,G-FR1-A2-6,-56.8,,
35,15,G-FR1-A2-4,-56.5,-65.7,AWGN
,30,G-FR1-A2-5,-56.5,,
,60,G-FR1-A2-6,-56.8,,
40,15,G-FR1-A2-4,-56.5,-65.1,AWGN
,30,G-FR1-A2-5,-56.5,,
,60,G-FR1-A2-6,-56.8,,
45,15,G-FR1-A2-4,-56.5,-64.6,AWGN
,30,G-FR1-A2-5,-56.5,,
,60,G-FR1-A2-6,-56.8,,
50,15,G-FR1-A2-4,-56.5,-64.1,AWGN
,30,G-FR1-A2-5,-56.5,,
,60,G-FR1-A2-6,-56.8,,
60,30,G-FR1-A2-5,-56.5,-63.3,AWGN
,60,G-FR1-A2-6,-56.8,,
70,30,G-FR1-A2-5,-56.5,-62.7,AWGN
,60,G-FR1-A2-6,-56.8,,
80,30,G-FR1-A2-5,-56.5,-62.1,AWGN
,60,G-FR1-A2-6,-56.8,,
90,30,G-FR1-A2-5,-56.5,-61.5,AWGN
,60,G-FR1-A2-6,-56.8,,
100,30,G-FR1-A2-5,-56.5,-61.1,AWGN
,60,G-FR1-A2-6,-56.8,,
"NOTE 1:The wanted signal mean power is the power level of a single instance of the corresponding reference measurement channel. This requirement shall be met for each consecutive application of a single instance of the reference measurement channel mapped to disjoint frequency ranges with a width corresponding to the number of resource blocks of the reference measurement channel each, except for one instance that might overlap one other instance to cover the full BS channel bandwidth.NOTE 2:These reference measurement channels are not applied for band n46, n96 and n102.",,,,,
