Reference channel,G-FR1-A3-22,G-FR1-A3-23,G-FR1-A3-24,G-FR1-A3-25,G-FR1-A3-26,G-FR1-A3-27,G-FR1-A3-28
Subcarrier spacing [kHz],15,15,15,30,30,30,30
Allocated resource blocks,25,52,106,24,51,106,273
CP-OFDM Symbols per slot (Note 1),12,12,12,12,12,12,12
Modulation,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Code rate (Note 2),193/1024,193/1024,193/1024,193/1024,193/1024,193/1024,193/1024
Payload size (bits),2728,5640,11528,2600,5512,11528,29736
Transport block CRC (bits),16,24,24,16,24,24,24
Code block CRC size (bits),-,24,24,-,24,24,24
Number of code blocks - C,1,2,4,1,2,4,8
Code block size including CRC (bits) (Note 2),2744,2856,2912,2616,2792,2912,3744
Total number of bits per slot,14400,29952,61056,13824,29376,61056,157248
Total symbols per slot,7200,14976,30528,6912,14688,30528,78624
"NOTE 1:DM-RS configuration type  = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1, l0= 2 and l=11 for PUSCH mapping type A, l0 = 0 and l =10 for PUSCH mapping type B as per table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in clause 5.2.2 of TS 38.212 [15].",,,,,,,
