Reference channel,G-FR1-A3-8,G-FR1-A3-9,G-FR1-A3-10,G-FR1-A3-11,G-FR1-A3-12,G-FR1-A3-13,G-FR1-A3-14
Subcarrier spacing [kHz],15,15,15,30,30,30,30
Allocated resource blocks,25,52,106,24,51,106,273
CP-OFDM Symbols per slot (Note 1),12,12,12,12,12,12,12
Modulation,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Code rate (Note 2),193/1024,193/1024,193/1024,193/1024,193/1024,193/1024,193/1024
Payload size (bits),1352,2856,5768,1320,2792,5768,14856
Transport block CRC (bits),16,16,24,16,16,24,24
Code block CRC size (bits),-,-,24,-,-,24,24
Number of code blocks - C,1,1,2,1,1,2,4
Code block size including CRC (bits) (Note 2),1368,2872,2920,1336,2808,2920,3744
Total number of bits per slot,7200,14976,30528,6912,14688,30528,78624
Total symbols per slot,3600,7488,15264,3456,7344,15264,39312
"NOTE 1:DM-RS configuration type  = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1, l0= 2 and l =11 for PUSCH mapping type A, l0= 0 and l =10 for PUSCH mapping type B as per table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in clause 5.2.2 of TS 38.212 [15].",,,,,,,
