Reference channel,G-FR2-A3B-3,G-FR2-A3B-4,G-FR2-A3B-5,
Subcarrier spacing [kHz],120,120,480,
Allocated resource blocks,66,264,66,
CP-OFDM Symbols per slot (Note 1),8,8,8,
Modulation,QPSK,QPSK,QPSK,
Code rate (Note 2),308/1024,308/1024,308/1024,
Payload size (bits),3824,15112,3824,
Transport block CRC (bits),16,24,16,
Code block CRC size (bits),-,24,-,
Number of code blocks - C,1,2,1,
Code block size including CRC (bits) (Note 2),3840,7592,3840,
Total number of bits per slot without PT-RS,12672,50688,12672,
Total symbols per slot without PT-RS,6336,25344,6336,
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1 with l0= 0 and l =8 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].NOTE 3:The calculation of the “Total number of bits per slot” and “Total symbols per slot” fields include the REs taken up by CSI part 1 and CSI part 2, if present.",,,,
