Reference channel,G-FR2-A10-1,G-FR2-A10-2
Subcarrier spacing [kHz],120,120
Allocated resource blocks,32,132
Data bearing CP-OFDM Symbols per slot (Note 1),9,9
Modulation,64QAM,64QAM
Code rate (Note 2),517/1024,517/1024
Payload size (bits),10504,43032
Transport block CRC (bits),24,24
Code block CRC size (bits),24,24
Number of code blocks - C,2,6
Code block size including CRC (bits) (Note 2),5288,7200
Total number of bits per slot without PT-RS,20736,85536
Total number of bits per slot with PT-RS (Note 3),19872,81972
Total resource elements per slot without PT-RS,3456,14256
Total resource elements per slot with PT-RS (Note 3),3312,13662
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos0 with l0= 0 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].NOTE 3:PT-RS configuration KPT-RS =2, LPT-RS =1.",,
