Reference channel,G-FR2-A5-1,G-FR2-A5-2,G-FR2-A5-3,G-FR2-A5-4,G-FR2-A5-5
Subcarrier spacing [kHz],60,60,120,120,120
Allocated resource blocks,66,132,32,66,132
CP-OFDM Symbols per slot (Note 1),9,9,9,9,9
Modulation,64QAM,64QAM,64QAM,64QAM,64QAM
Code rate (Note 2),567/1024,567/1024,567/1024,567/1024,567/1024
Payload size (bits),23568,47112,11528,23568,47112
Transport block CRC (bits),24,24,24,24,24
Code block CRC size (bits),24,24,24,24,24
Number of code blocks - C,3,6,2,3,6
Code block size including CRC (bits) (Note 2),7888,7880,5800,7888,7880
Total number of bits per slot without PT-RS,42768,85536,20736,42768,85536
Total number of bits per slot with PT-RS (Note 3),40986,81972,19872,40986,81972
Total symbols per slot without PT-RS,7128,14256,3456,7128,14256
Total symbols per slot with PT-RS (Note 3),6831,13662,3312,6831,13662
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos0 with l0= 0 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].NOTE 3:PT-RS configuration KPT-RS =2, LPT-RS =1.",,,,,
