Reference channel,G-FR2-A3B-6,G-FR2-A3B-7,
Subcarrier spacing [kHz],120,480,
Allocated resource blocks,64,64,
DFT-s-OFDM Symbols per slot (Note 1),8,8,
Modulation,QPSK,QPSK,
Code rate (Note 2),308/1024,308/1024,
Payload size (bits),3752,3752,
Transport block CRC (bits),16,16,
Code block CRC size (bits),-,-,
Number of code blocks - C,1,1,
Code block size including CRC (bits) (Note 2),3768,3768,
Total number of bits per slot without PT-RS,12288,12288,
Total symbols per slot without PT-RS,6144,6144,
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1 with l0= 0 and l =8 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].NOTE 3:The calculation of the “Total number of bits per slot” and “Total symbols per slot” fields include the REs taken up by CSI part 1 and CSI part 2, if present.",,,
