Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),Fraction of maximum throughput,FRC(Annex A),Additional DM-RS position,SNR(dB)
1,2,Normal,TDLA30-10 Low,70%,G-FR1-A3B-7,pos0,-2.6
,,,,,G-FR1-A3B-5,pos1,-3.4
,4,Normal,TDLA30-10 Low,70%,G-FR1-A3B-7,pos0,-6.3
,,,,,G-FR1-A3B-5,pos1,-6.8
,8,Normal,TDLA30-10 Low,70%,G-FR1-A3B-7,pos0,-9.4
,,,,,G-FR1-A3B-5,pos1,-10.6
