Reference channel,G-FR1-A1-1,G-FR1-A1-2,G-FR1-A1-3,G-FR1-A1-4,G-FR1-A1-5,G-FR1-A1-6,G-FR1-A1-7,G-FR1-A1-8,G-FR1-A1-9,G-FR1-A1-10,G-FR1-A1-11,G-FR1-A1-20,G-FR1-A1-21
Subcarrier spacing (kHz),15,30,60,15,30,60,15,30,60,15,15,15,15
Allocated resource blocks,25,11,11,106,51,24,15,6,6,24,105,9,12
CP-OFDM Symbols per slot (Note 1),12,12,12,12,12,12,12,12,12,12,12,12,12
Modulation,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Code rate (Note 2),1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3
Payload size (bits),2152,984,984,9224,4352,2088,1320,528,528,2088,8968,808,1032
Transport block CRC (bits),16,16,16,24,24,16,16,16,16,16,24,16,16
Code block CRC size (bits),-,-,-,24,-,-,-,-,-,-,24,-,-
Number of code blocks - C,1,1,1,2,1,1,1,1,1,1,2,1,1
Code block size including CRC (bits) (Note 3),2168,1000,1000,4648,4376,2104,1336,544,544,2104,4520,824,1048
Total number of bits per slot,7200,3168,3168,30528,14688,6912,4320,1728,1728,6912,30240,2592,3456
Total symbols per slot,3600,1584,1584,15264,7344,3456,2160,864,864,3456,15120,1296,1728
"NOTE 1:UL-DMRS-config-type = 1 with UL-DMRS-max-len = 1, UL-DMRS-add-pos = 1 with = 2, = 11 as per table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:MCS index 4 and target coding rate = 308/1024 are adopted to calculate payload size for receiver sensitivity and in-channel selectivityNOTE 3:Code block size including CRC (bits) equals to  in sub-clause 5.2.2 of TS 38.212 [15].",,,,,,,,,,,,,
