Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),Fraction of maximum throughput,FRC(Annex A),Additional DM-RS position,SNR(dB),
1,,Normal,TDLB100-400 Low,70 %,G-FR1-A3-13,pos1,-2.5,
,2,Normal,TDLC300-100 Low,70 %,G-FR1-A4-13,pos1,10.0,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A5-13,pos1,12.4,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A9-4,pos1,19.9,
,,Normal,TDLB100-400 Low,70 %,G-FR1-A3-13,pos1,-5.8,
,4,Normal,TDLC300-100 Low,70 %,G-FR1-A4-13,pos1,6.3,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A5-13,pos1,8.5,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A9-4,pos1,16.1,
,,Normal,TDLB100-400 Low,70 %,G-FR1-A3-13,pos1,-8.7,
,8,Normal,TDLC300-100 Low,70 %,G-FR1-A4-13,pos1,3.1,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A5-13,pos1,5.4,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A9-4,pos1,12.6,
,2,Normal,TDLB100-400 Low,70 %,G-FR1-A3-27,pos1,1.3,
,,Normal,TDLC300-100 Low,70 %,G-FR1-A4-27,pos1,19.5,
2,4,Normal,TDLB100-400 Low,70 %,G-FR1-A3-27,pos1,-2.3,
,,Normal,TDLC300-100 Low,70 %,G-FR1-A4-27,pos1,11.3,
,8,Normal,TDLB100-400 Low,70 %,G-FR1-A3-27,pos1,-5.2,
,,Normal,TDLC300-100 Low,70 %,G-FR1-A4-27,pos1,6.9,
4,4,Normal,TDLA30-10 Low,70 %,G-FR1-A11-5,pos1,19.6,
,8,Normal,TDLA30-10 Low,70 %,G-FR1-A11-5,pos1,11.8,
