Parameter,,Value
Transform precoding,,Disabled
Default TDD UL-DL pattern (Note 1),,"15kHz SCS: N/A30 kHz SCS: 7D1S2U, S=6D:4G:4U"
HARQ,Maximum number of HARQ transmissions,4
,RV sequence,"0, 2, 3, 1"
DM-RS,DM-RS configuration type,1
,DM-RS duration,single-symbol DM-RS
,Additional DM-RS position,pos1
,Number of DM-RS CDM group(s) without data,2
,Ratio of PUSCH EPRE to DM-RS EPRE,-3 dB
,DM-RS port,"{0},{0,1}"
,DM-RS sequence generation,"NID0=0, nSCID =0"
Time domain resource assignment,PUSCH mapping type,A
,Start symbol,0
,Allocation length,14
Frequency domain resource assignment,RB assignment,Full applicable test bandwidth
,Frequency hopping,Disabled
TPMI index for 2Tx two-layer spatial multiplexing transmission,,0
Code block group based PUSCH transmission,,Disabled
"NOTE 1:The same requirements are applicable to TDD with different UL-DL pattern, e.g., 30D4S6U, S=14G for 30kHz SCS.",,
