Reference channel,G-FR1-A8-3,G-FR1-A8-4
Subcarrier spacing [kHz],15,30
Allocated resource blocks,2,2
CP-OFDM Symbols per slot (Note 1),12,12
Modulation,QPSK,QPSK
Code rate (Note 2),157/1024,157/1024
Payload size (bits),88,88
Transport block CRC (bits),16,16
Code block CRC size (bits),0,0
Number of code blocks - C,1,1
Code block size including CRC (bits) (Note 2),104,104
Total number of bits per slot,576,576
Total symbols per slot,288,288
"NOTE 1: DM-RS configuration type  = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1 with l0= 2 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2: Code block size including CRC (bits) equals to K' in clause 5.2.2 of TS 38.212 [15].",,
