BS channel bandwidth of the lowest/highest carrier received (MHz),Interfering signal centre frequency offset from the lower/upper base station RF Bandwidth edge (MHz),Type of interfering signal (Note 3)
5,±7.5,CW
,±17.5,5 MHz DFT-s-OFDM NR signal (Note 1)
7,±7.45,CW
,±17.5,5 MHz DFT-s-OFDM NR signal (Note 1)
10,±7.465,CW
,±17.5,5 MHz DFT-s-OFDM NR signal (Note 1)
15,±7.43,CW
,±17.5,5 MHz DFT-s-OFDM NR signal (Note 1)
20,±7.395,CW
,±17.5,5 MHz DFT-s-OFDM NR signal (Note 1)
25,±7.465,CW
,±25,20 MHz DFT-s-OFDM NR signal (Note 2)
30,±7.43,CW
,±25,20 MHz DFT-s-OFDM NR signal (Note 2)
35,±7.44,CW
,±25,20 MHz DFT-s-OFDM NR signal (Note 2)
40,±7.45,CW
,±25,20 MHz DFT-s-OFDM NR signal (Note 2)
45,±7.37,CW
,±25,20 MHz DFT-s-OFDM NR signal (Note 2)
50,±7.38,CW
,±25,20 MHz DFT-s-OFDM NR signal (Note 2)
60,±7.49,CW
,±25,20 MHz DFT-s-OFDM NR signal (Note 2)
70,±7.42,CW
,±25,20 MHz DFT-s-OFDM NR signal (Note 2)
80,±7.44,CW
,±25,20 MHz DFT-s-OFDM NR signal (Note 2)
90,±7.46,CW
,±25,20 MHz DFT-s-OFDM NR signal (Note 2)
100,±7.48,CW
,±25,20 MHz DFT-s-OFDM NR signal (Note 2)
"NOTE 1:Number of RBs is 25 for 15 kHz subcarrier spacing and 10 for 30 kHz subcarrier spacing.NOTE 2:Number of RBs is 100 for 15 kHz subcarrier spacing, 50 for 30 kHz subcarrier spacing and 24 for 60 kHz subcarrier spacing.NOTE 3:The RBs shall be placed adjacent to the transmission bandwidth configuration edge which is closer to the Base Station RF Bandwidth edge.",,
