Reference channel,G-FR1-A5-8,G-FR1-A5-9,G-FR1-A5-10,G-FR1-A5-11,G-FR1-A5-12,G-FR1-A5-13,G-FR1-A5-14
Subcarrier spacing [kHz],15,15,15,30,30,30,30
Allocated resource blocks,25,52,106,24,51,106,273
CP-OFDM Symbols per slot (Note 1),12,12,12,12,12,12,12
Modulation,64QAM,64QAM,64QAM,64QAM,64QAM,64QAM,64QAM
Code rate (Note 2),567/1024,567/1024,567/1024,567/1024,567/1024,567/1024,567/1024
Payload size (bits),12040,25104,50184,11528,24576,50184,131176
Transport block CRC (bits),24,24,24,24,24,24,24
Code block CRC size (bits),24,24,24,24,24,24,24
Number of code blocks - C,2,3,6,2,3,6,16
Code block size including CRC (bits) (Note 2),6056,8400,8392,5800,8224,8392,8224
Total number of bits per slot,21600,44928,91584,20736,44064,91584,235872
Total symbols per slot,3600,7488,15264,3456,7344,15264,39312
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1, l0= 2 and l =11 for PUSCH mapping type A, l0= 0 and l =10 for PUSCH mapping type B as per table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in clause 5.2.2 of TS 38.212 [15].",,,,,,,
