Reference channel,G-FR1-A5-15,G-FR1-A5-16
Subcarrier spacing [kHz],15,30
Allocated resource blocks,11,11
CP-OFDM Symbols per slot (Note 1),12,12
Modulation,64QAM,64QAM
Code rate,567/1024,567/1024
Payload size (bits),5248,5248
Transport block CRC (bits),24,24
Code block CRC size (bits),-,-
Number of code blocks - C,1,1
Code block size including CRC (bits) (Note 2),5272,5272
Total number of bits per slot (Note 3),9504,9504
Total symbols per slot (Note 3),1584,1584
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1, l0= 2 and l =11 for PUSCH mapping type A, l0= 0 and l =10 for PUSCH mapping type B as per table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in clause 5.2.2 of TS 38.212 [15].NOTE 3:The calculation of the “Total number of bits per slot” and “Total symbols per slot” fields include the REs taken up by CG-UCI, if present.",,
