Parameter,Test 1,Test 2
Example TDD UL-DL pattern (Note1),"15 kHz SCS: 7D1S2U, S=6D:4G:4U30 kHz SCS: TDD7D1S2U, S=6D:4G:4U",15 kHz SCS: FDD30 kHz SCS: FDD
Number of information bits,2,2
Number of PRBs,1,1
Number of symbols,14,14
First PRB prior to frequency hopping,0,0
Intra-slot frequency hopping,disabled,disabled
Group and sequence hopping,neither,neither
Hopping ID,0,0
Initial cyclic shift,0,0
First symbol,0,0
Index of orthogonal cover code (timeDomainOCC),0,0
Number of slots for PUCCH repetition,2,8
PUCCH-TimeDomainWindowLength,2,8
Note 1:The same TDD requirements are applicable to different UL-DL patterns with more than one consecutive UL slots when both pucch-TimeDomainWindowLength and PUCCH aggregation factor are configured as 2 slots.The UL (re)transmission of PUCCH is only scheduled for the actual TDW including 2 consecutive UL slots.,,
