Reference channel,G-FR2-A10-9,G-FR2-A10-10
Subcarrier spacing [kHz],120,120
Allocated resource blocks,16,66
Data bearing CP-OFDM Symbols per slot (Note 1),8,8
Modulation,64QAM,64QAM
Code rate (Note 2),517/1024,517/1024
Payload size (bits),4608,18960
Transport block CRC (bits),24,24
Code block CRC size (bits),-,24
Number of code blocks - C,1,3
Code block size including CRC (bits) (Note 2),4632,6352
Total number of bits per slot without PT-RS,9216,38016
Total number of bits per slot with PT-RS (Note 3),8832,36432
Total resource elements per slot without PT-RS,1536,6336
Total resource elements per slot with PT-RS (Note 3),1472,6072
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1 with l0= 0 and l =8 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].NOTE 3:PT-RS configuration KPT-RS =2, LPT-RS =1.",,
