Reference channel,G-FR1-A3-33,G-FR1-A3-33A,G-FR1-A3-34,G-FR1-A3-34A
Subcarrier spacing [kHz],15,15,30,30
Allocated resource blocks,52,25,106,24
Data bearing CP-OFDM Symbols per slot (Note 1),11,11,11,11
Modulation,QPSK,QPSK,QPSK,QPSK
Code rate (Note 2),193/1024,193/1024,193/1024,193/1024
Payload size (bits),2600,1256,5256,1192
Transport block CRC (bits),16,16,24,16
Code block CRC size (bits),-,-,24,-
Number of code blocks - C,1,1,2,1
Code block size including CRC (bits) (Note 2),2616,1272,2664,1208
Total number of bits per slot,13728,6600,27984,6336
Total resource elements per slot,6864,3300,13992,3168
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos2, and l0=  2 or 3 for PUSCH mapping type A, as per table 6.4.1.1.3-3 of TS 38.211 [5].NOTE 2:Code block size including CRC (bits) equals to K' in clause 5.2.2 of TS 38.212 [15].",,,,
