Clause number,Requirement,Comments
5.2,Operating bands,Some NR operating bands may be applied regionally.
"6.2.1,9.3.1","Base station output power, OTA base station output power:","For Band n41 and n90 operation in Japan, additional output power limits shall be applied."
"6.2.4,9.3.4","Base station output power,OTA base station output power:Additional requirements","These requirements may be applied regionally as additional base station output power requirements.For operation with shared spectrum channel access, the BS may have to comply with the applicable BS power limits established regionally, when deployed in regions where those limits apply and under the conditions declared by the manufacturer."
"6.6.2,9.7.2","Occupied bandwidth,OTA occupied bandwidth",The requirement may be applied regionally. There may also be regional requirements to declare the occupied bandwidth according to the definition in present specification.
6.6.3.3,Adjacent Channel Leakage Power Ratio,"For Band n41 and n90 operation in Japan, absolute ACLR limits shall be applied to the sum of the absolute ACLR power over all antenna connectors for BS type 1-C."
"6.6.4.2,9.7.4.2","Operating band unwanted emission,OTA operating band unwanted emissions","Category A or Category B operating band unwanted emissions limits may be applied regionally.In addition, for operation with shared spectrum channel access, the BS may have to comply with the applicable operating band unwanted emission limits established regionally, when deployed in regions where those limits apply and under the conditions declared by the manufacturer."
"6.6.4.2.5.1,9.7.4.2.1.2","Operating band unwanted emission,OTA operating band unwanted emissions:Limits in FCC Title 47","The BS may have to comply with the additional requirements, when deployed in regions where those limits are applied, and under the conditions declared by the manufacturer."
"6.6.4.2.5.2,9.7.4.2.1.1","Operating band unwanted emission,OTA operating band unwanted emissions Protection of DTT","The BS operating in Band n20 may have to comply with the additional requirements for protection of DTT, when deployed in certain regions."
6.6.4.3,Operating band unwanted emissions,"For Band n41 and n90 operation in Japan, the operating band unwanted emissions limits shall be applied to the sum of the emission power over all antenna connectors for BS type 1-C."
"6.6.5.2.1,9.7.5.2","Tx spurious emissions,OTA Tx spurious emissions","Category A or Category B spurious emission limits, as defined in ITU-R Recommendation SM.329 [2], may apply regionally.The emission limits for BS type 1-H and BS type 1-O specified as the basic limit + X (dB) are applicable, unless stated differently in regional regulation.In addition, for operation with shared spectrum channel access, the BS may have to comply with the applicable spurious emission limits established regionally, when deployed in regions where those limits apply and under the conditions declared by the manufacturer."
"6.6.5.2.3,9.7.5.3.3","Tx spurious emissions: additional requirements,OTA Tx spurious emissions: additional requirements",These requirements may be applied for the protection of system operating in frequency ranges other than the BS operating band.
6.6.5.3,Transmitter spurious emissions,"For Band n41 and n90 operation in Japan, the sum of the spurious emissions over all antenna connectors for BS type 1-C shall not exceed the basic limits."
"6.7.2.1.1,6.7.3.1.19.8.2","Transmitter intermodulation,OTA transmitter intermodulation","Interfering signal positions that are partially or completely outside of any downlink operating band of the base station are not excluded from the requirement in Japan in Band n77, n78, n79."
"6.7.2.2, 6.7.3.3",Transmitter intermodulation,"For Band n41 and n90 operation in Japan, the BS may have to comply with the additional requirements, when deployed in certain regions."
"6.7.2.2,6.7.3.3,9.8.3","Transmitter intermodulation,OTA transmitter intermodulation","For Band n79 operation in Japan, the BS shall comply with the additional requirements."
"6.7.2.2,6.7.3.3,9.8.3","Transmitter intermodulation,OTA transmitter intermodulation","For Band n26 and n28 operation in Japan, the BS shall comply with the additional requirements when the narrowest channel bandwidth supported by the BS is 5MHz or wider."
7.6.3,"Rx spurious emissions,","For Band n41 and n90 operation in Japan, the emission limits for BS type 1-C may apply to the sum of the emission power over all antenna connectors."
"7.6.4, 10.7.210.7.3","Rx spurious emissions,OTA Rx spurious emissions","The emission limits for BS type 1-H and BS type 1-O specified as the basic limit + X (dB) are applicable, unless stated differently in regional regulation.Additional limits for BS type 2-O may apply regionally."
