Reference channel,G-FR2-A4-1,G-FR2-A4-2,G-FR2-A4-3 (Note 3),G-FR2-A4-4,G-FR2-A4-5
Subcarrier spacing [kHz],60,60,120,120,120
Allocated resource blocks,66,132,32,66,132
CP-OFDM Symbols per slot (Note 1),9,9,9,9,9
Modulation,16QAM,16QAM,16QAM,16QAM,16QAM
Code rate (Note 2),658/1024,658/1024,658/1024,658/1024,658/1024
Payload size (bits),18432,36896,8968,18432,36896
Transport block CRC (bits),24,24,24,24,24
Code block CRC size (bits),24,24,24,24,24
Number of code blocks - C,3,5,2,3,5
Code block size including CRC (bits) (Note 2),6176,7408,4520,6176,7408
Total number of bits per slot without PT-RS,28512,57024,13824,28512,57024
Total number of bits per slot with PT-RS (Note 4),27324,54648,13248,27324,54648
Total symbols per slot without PT-RS,7128,14256,3456,7128,14256
Total symbols per slot with PT-RS (Note 4),6831,13662,3312,6831,13662
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos0 with l0= 0 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].NOTE 3:The calculation of the “Total number of bits per slot” and “Total symbols per slot” fields include the REs taken up by CSI part 1 and CSI part 2, if present.NOTE 4:PT-RS configuration KPT-RS =2, LPT-RS =1.",,,,,
