Reference channel,G-FR2-A3B-8,G-FR2-A3B-9,G-FR2-A3B-10,
Subcarrier spacing [kHz],120,120,480,
Allocated resource blocks,66,264,66,
CP-OFDM Symbols per slot (Note 1),8,8,8,
Modulation,QPSK,QPSK,QPSK,
Code rate (Note 2),308/1024,308/1024,308/1024,
Payload size (bits),7552,30728,7552,
Transport block CRC (bits),24,24,24,
Code block CRC size (bits),-,24,-,
Number of code blocks - C,1,4,1,
Code block size including CRC (bits) (Note 2),7576,7712,7576,
Total number of bits per slot without PT-RS,25344,101376,25344,
Total symbols per slot without PT-RS,12672,50688,12672,
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1 with l0= 0 and l =8 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].NOTE 3:The calculation of the “Total number of bits per slot” and “Total symbols per slot” fields include the REs taken up by CSI part 1 and CSI part 2, if present.",,,,
