Reference channel,G-FR1-A2-1,G-FR1-A2-2,G-FR1-A2-3,G-FR1-A2-4,G-FR1-A2-5,G-FR1-A2-6,G-FR1-A2-15
Subcarrier spacing (kHz),15,30,60,15,30,60,15
Allocated resource blocks,25,11,11,106,51,24,15
CP-OFDM Symbols per slot (Note 1),12,12,12,12,12,12,12
Modulation,16QAM,16QAM,16QAM,16QAM,16QAM,16QAM,16QAM
Code rate (Note 2),2/3,2/3,2/3,2/3,2/3,2/3,2/3
Payload size (bits),9224,4032,4032,38936,18960,8968,5504
Transport block CRC (bits),24,24,24,24,24,24,24
Code block CRC size (bits),24,-,-,24,24,24,-
Number of code blocks - C,2,1,1,5,3,2,1
Code block size including CRC (bits) (Note 3),4648,4056,4056,7816,6352,4520,5528
Total number of bits per slot,14400,6336,6336,61056,29376,13824,8640
Total symbols per slot,3600,1584,1584,15264,7344,3456,2160
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS, additional DM-RS position = pos1 with l0= 2, l = 11 as per table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:MCS index 16 and target coding rate = 658/1024 are adopted to calculate payload size.NOTE 3:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].",,,,,,,
