Number of TX antennas,Number of demodulation branches,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),Fraction of maximum throughput,FRC(Annex A),Additional DM-RS position,PT-RS,SNR(dB)
,,Normal,TDLA30-300 Low,70 %,G-FR2-A3-3,pos0,No,-1.8
,,,,,G-FR2-A3-15,pos1,No,-2.1
,,Normal,TDLA30-300 Low,70 %,G-FR2-A4-3,pos0,Yes,11.6
,,,,,,,No,10.9
1,,,,,G-FR2-A4-13,pos1,Yes,10.9
,,,,,,,No,10.5
,2,Normal,TDLA30-75 Low,70 %,G-FR2-A5-3,pos0,Yes,13.7
,,,,,,,No,13.1
,,,,,G-FR2-A5-8,pos1,Yes,13.2
,,,,,,,No,13.0
,,,,,G-FR2-A9-1,pos0,Yes,20.0
,,Normal,TDLD30-35 Low,70 %,,,No,19.3
,,,,,G-FR2-A9-4,pos1,Yes,19.7
,,,,,,,No,18.9
,,Normal,TDLA30-300 Low,70 %,G-FR2-A3-8,pos0,No,1.4
,,,,,G-FR2-A3-20,pos1,No,1.3
2,,Normal,TDLA30-300 Low,70 %,G-FR2-A7-3,pos0,Yes,14.2
,,,,,,,No,13.6
,,,,,G-FR2-A7-8,pos1,Yes,13.9
,,,,,,,No,13.1
